Reference|Ancien_depot|Appellation|Ancienne_appartenance|Ancienne_attribution|Auteur|Bibliographie|Commentaires|Presence_image|Date_d_acquisition|Date_de_depot|Decouverte_collecte|Denomination|Lieu_de_depot|Description|Mesures|Date_de_mise_a_jour|Date_creation|Domaine|Departement|Date_sujet_represente|Ecole_pays|Epoque|Exposition|Genese|Geographie_historique|Historique|Inscription|Numero_inventaire|Appellation_Musee_de_France|Lien_base_Arcade|Lieu_de_creation_utilisation|Localisation|Lien_Video|MANQUANT|MANQUANT_COM|Millesime_de_creation|Millesime_d_utilisation|Code_Museofile|Nom_officiel_musee|Genre|Onomastique|Precisions_sur_l_auteur|Precisions_decouverte_collecte|Periode_de_l_original_copie|Periode_de_creation|Periode_d_utilisation|Precisions_inscriptions|Precisions_lieux_creations|Precisions_sujets_representes|Precisions_utilisation|References_Memoires|References_Merimee|Reference_MAJ|References_Palissy|Region|Sujet_Represente|Lien_INHA|Source_de_la_representation|Statut_juridique|Materiaux_techniques|Titre|Utilisation|Ville|Lien_site_associe|coordonnees|Artiste_sous_droits|Date_entree_dans_le_domaine_public
09860001584|||Jourdan (collection, 1)||Jourdan Charles (1883-1976)|||oui|1972|||escarpin||Escarpin de femme. Tige en crocodile rouge avec petit noeud papillon de même matière cousu sur l'empeigne. Semelle en cuir avec talon Louis XV. Pied gauche|H. 120, L. 233, l. 70 ; Pds 154 g|2026-09-04|2004-05-27|costume - accessoires du costume;ethnologie|Drôme|||||||Séducta est la première marque lancée par Charles Jourdan (1930)|griffe|1972.26.184|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002||Drôme,Romans|Romans ; musée de la chaussure||||1964-1965||M0986|musée de la chaussure|||Jourdan Charles : Paris, 1883/07/01 ; Paris, 1976/02/13 ; Français ; C'est en 1921 que Charles Jourdan crée la marque SEDUCTA. La première boutique à l'enseigne Charles Jourdan ouvre à Paris en 1957. Les souliers portent pour la première fois le nom de leur créateur. Par la suite, essentiellement au cours des années 60, la marque s'internationalise avec l'ouverture de boutiques à Londres, Munich, New York, Los Angeles, Miami, Tokyo. Elle évolue de plus en plus vite : de nouvelles lignes Homme et Femme sont développées, et on voit également apparaître des accessoires dans les collections. Puis dans les années 80, Karl Lagerfeld confie à Charles Jourdan la réalisation de ses chaussures. La marque SEDUCTA est relancée. Plus tard (années 90), alors que Charles Jourdan lance les lignes Charles Jourdan BIS Femme et Homme, une nouvelle collaboration voit le jour avec les créateurs Michel Perry et Claude Montana. Charles Jourdan confirme son rayonnement. Dans les années 2000, malgré un renforcement de son équipe de création et l'aide de designers de renom (Patrick Cox en 2004 ou encore Josephus Melchior Thimister en 2005), Charles Jourdan comme Stéphane Kélian subit de plein fouet la tourmente qui sévit dans l'industrie de la chaussure de luxe française. Après plusieurs redressements judiciaires, Charles Jourdan a été placé en liquidation par le tribunal de commerce de Romans en janvier 2008|||3e quart 20e siècle||Première: (au stylo bille) 13. Semelle: (au stylo bille sur étiquette collée) Stradella ; Première : griffe Charles Jourdan ; Paris ; Stradella. Semelle: griffe Charles Jourdan||||||||Auvergne-Rhône-Alpes||||propriété de la commune;don manuel;Romans;musée de la chaussure|crocodile;cuir||accessoire du vêtement|Romans-sur-Isère||45.0431, 5.055376|oui|2047
09860001770|||Jourdan (collection, 13)||Jourdan Charles (1883-1976)|||oui|1992|||escarpin||Escarpin pour femme en peau de crocodile noir. Décolleté festonné et décoré d'un noeud. Bout pointu. Talon bottier fin. Semelle en cuir. Pied gauche|H. 120, L. 250, l. 75 ; Pds 158 g|2026-09-04|2004-06-02|costume - accessoires du costume;ethnologie|Drôme||||||||griffe|1992.17.24|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002||Drôme,Romans|Romans ; musée de la chaussure||||1959-1960||M0986|musée de la chaussure|||Jourdan Charles : Paris, 1883/07/01 ; Paris, 1976/02/13 ; Français ; C'est en 1921 que Charles Jourdan crée la marque SEDUCTA. La première boutique à l'enseigne Charles Jourdan ouvre à Paris en 1957. Les souliers portent pour la première fois le nom de leur créateur. Par la suite, essentiellement au cours des années 60, la marque s'internationalise avec l'ouverture de boutiques à Londres, Munich, New York, Los Angeles, Miami, Tokyo. Elle évolue de plus en plus vite : de nouvelles lignes Homme et Femme sont développées, et on voit également apparaître des accessoires dans les collections. Puis dans les années 80, Karl Lagerfeld confie à Charles Jourdan la réalisation de ses chaussures. La marque SEDUCTA est relancée. Plus tard (années 90), alors que Charles Jourdan lance les lignes Charles Jourdan BIS Femme et Homme, une nouvelle collaboration voit le jour avec les créateurs Michel Perry et Claude Montana. Charles Jourdan confirme son rayonnement. Dans les années 2000, malgré un renforcement de son équipe de création et l'aide de designers de renom (Patrick Cox en 2004 ou encore Josephus Melchior Thimister en 2005), Charles Jourdan comme Stéphane Kélian subit de plein fouet la tourmente qui sévit dans l'industrie de la chaussure de luxe française. Après plusieurs redressements judiciaires, Charles Jourdan a été placé en liquidation par le tribunal de commerce de Romans en janvier 2008|||3e quart 20e siècle||Première : griffe Charles Jourdan ; Paris||||||||Auvergne-Rhône-Alpes||||propriété de la commune;don manuel;Romans;musée de la chaussure|crocodile;cuir||accessoire du vêtement|Romans-sur-Isère||45.0431, 5.055376|oui|2047
09860001779|||Jourdan (collection, 13)||Jourdan Charles (1883-1976)|||oui|1992|||escarpin||Escarpin pour femme en crocodile noir. Décor de piqûre latérale avec languette décorée d'une boucle de cuir sur la tige. Bout pointu. Talon bottier fin Semelle en cuir. Pied gauche|H. 120, L. 250, l. 75 ; Pds 164 g|2026-09-04|2004-06-02|costume - accessoires du costume;ethnologie|Drôme||||||||griffe|1992.17.33|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002||Drôme,Romans|Romans ; musée de la chaussure||||1960||M0986|musée de la chaussure|||Jourdan Charles : Paris, 1883/07/01 ; Paris, 1976/02/13 ; Français ; C'est en 1921 que Charles Jourdan crée la marque SEDUCTA. La première boutique à l'enseigne Charles Jourdan ouvre à Paris en 1957. Les souliers portent pour la première fois le nom de leur créateur. Par la suite, essentiellement au cours des années 60, la marque s'internationalise avec l'ouverture de boutiques à Londres, Munich, New York, Los Angeles, Miami, Tokyo. Elle évolue de plus en plus vite : de nouvelles lignes Homme et Femme sont développées, et on voit également apparaître des accessoires dans les collections. Puis dans les années 80, Karl Lagerfeld confie à Charles Jourdan la réalisation de ses chaussures. La marque SEDUCTA est relancée. Plus tard (années 90), alors que Charles Jourdan lance les lignes Charles Jourdan BIS Femme et Homme, une nouvelle collaboration voit le jour avec les créateurs Michel Perry et Claude Montana. Charles Jourdan confirme son rayonnement. Dans les années 2000, malgré un renforcement de son équipe de création et l'aide de designers de renom (Patrick Cox en 2004 ou encore Josephus Melchior Thimister en 2005), Charles Jourdan comme Stéphane Kélian subit de plein fouet la tourmente qui sévit dans l'industrie de la chaussure de luxe française. Après plusieurs redressements judiciaires, Charles Jourdan a été placé en liquidation par le tribunal de commerce de Romans en janvier 2008|||3e quart 20e siècle||Première : griffe Charles Jourdan ; Paris (un peu effacé)||||||||Auvergne-Rhône-Alpes||||propriété de la commune;don manuel;Romans;musée de la chaussure|crocodile;cuir||accessoire du vêtement|Romans-sur-Isère||45.0431, 5.055376|oui|2047
09860002206|||Jourdan (collection, 31)||Jourdan Charles (1883-1976)|||oui|2003|||escarpin||Escarpin de femme en crocodile noir. Quartier arrière découvert. Décor de noeud plat. Première en chevreau noir. Petit talon recouvert et semelage Louis XV en cuir noir. Pied gauche|H. 103, L. 230, l. 72 ; Pds 140 g|2026-09-04|2004-06-04|costume - accessoires du costume;ethnologie|Drôme||||||||griffe|2003.14.8|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002||Drôme,Romans|Romans ; musée de la chaussure||||1962 vers||M0986|musée de la chaussure|||Jourdan Charles : Paris, 1883/07/01 ; Paris, 1976/02/13 ; Français ; C'est en 1921 que Charles Jourdan crée la marque SEDUCTA. La première boutique à l'enseigne Charles Jourdan ouvre à Paris en 1957. Les souliers portent pour la première fois le nom de leur créateur. Par la suite, essentiellement au cours des années 60, la marque s'internationalise avec l'ouverture de boutiques à Londres, Munich, New York, Los Angeles, Miami, Tokyo. Elle évolue de plus en plus vite : de nouvelles lignes Homme et Femme sont développées, et on voit également apparaître des accessoires dans les collections. Puis dans les années 80, Karl Lagerfeld confie à Charles Jourdan la réalisation de ses chaussures. La marque SEDUCTA est relancée. Plus tard (années 90), alors que Charles Jourdan lance les lignes Charles Jourdan BIS Femme et Homme, une nouvelle collaboration voit le jour avec les créateurs Michel Perry et Claude Montana. Charles Jourdan confirme son rayonnement. Dans les années 2000, malgré un renforcement de son équipe de création et l'aide de designers de renom (Patrick Cox en 2004 ou encore Josephus Melchior Thimister en 2005), Charles Jourdan comme Stéphane Kélian subit de plein fouet la tourmente qui sévit dans l'industrie de la chaussure de luxe française. Après plusieurs redressements judiciaires, Charles Jourdan a été placé en liquidation par le tribunal de commerce de Romans en janvier 2008|||3e quart 20e siècle||Première : griffe Charles Jourdan Paris - Francesca. Semelle: griffe Charles Jourdan Made in France||||||||Auvergne-Rhône-Alpes||||propriété de la commune;don manuel;Romans;musée de la chaussure|crocodile;chevreau;cuir||accessoire du vêtement|Romans-sur-Isère||45.0431, 5.055376|oui|2047
09860002057|||Jourdan (collection, 16)||Jourdan Charles (1883-1976)|||oui|1996|||botte||Botte de femme pour la ville, en peau de crocodile violette. Bout pointu Fermeture éclair sur le côté intérieur. Talon haut recouvert. Semelle de cuir. Pied gauche|H. 460, L. 248, l. 76 ; Pds 380 g|2026-09-04|2004-06-03|costume - accessoires du costume;ethnologie|Drôme||||||||griffe|1996.23.1|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002||France|Romans ; musée de la chaussure||||1996-1997||M0986|musée de la chaussure|||Jourdan Charles : Paris, 1883/07/01 ; Paris, 1976/02/13 ; Français ; C'est en 1921 que Charles Jourdan crée la marque SEDUCTA. La première boutique à l'enseigne Charles Jourdan ouvre à Paris en 1957. Les souliers portent pour la première fois le nom de leur créateur. Par la suite, essentiellement au cours des années 60, la marque s'internationalise avec l'ouverture de boutiques à Londres, Munich, New York, Los Angeles, Miami, Tokyo. Elle évolue de plus en plus vite : de nouvelles lignes Homme et Femme sont développées, et on voit également apparaître des accessoires dans les collections. Puis dans les années 80, Karl Lagerfeld confie à Charles Jourdan la réalisation de ses chaussures. La marque SEDUCTA est relancée. Plus tard (années 90), alors que Charles Jourdan lance les lignes Charles Jourdan BIS Femme et Homme, une nouvelle collaboration voit le jour avec les créateurs Michel Perry et Claude Montana. Charles Jourdan confirme son rayonnement. Dans les années 2000, malgré un renforcement de son équipe de création et l'aide de designers de renom (Patrick Cox en 2004 ou encore Josephus Melchior Thimister en 2005), Charles Jourdan comme Stéphane Kélian subit de plein fouet la tourmente qui sévit dans l'industrie de la chaussure de luxe française. Après plusieurs redressements judiciaires, Charles Jourdan a été placé en liquidation par le tribunal de commerce de Romans en janvier 2008|||4e quart 20e siècle||Semelle: griffe Leather Leder Cuir ; Made in France ; Première : griffe Charles Jourdan Paris ; Made in France. Semelle: griffe Charles Jourdan||||||||Auvergne-Rhône-Alpes||||propriété de la commune;don manuel;Romans;musée de la chaussure|crocodile;cuir||accessoire du vêtement|Romans-sur-Isère||45.0431, 5.055376||
09860001859|||Jourdan (collection, 13)||Jourdan Charles (1883-1976)|||oui|1992|||escarpin||Escarpin pour femme en crocodile moutarde. Bout découvert. Quartier arrière formé de deux brides plates se rattachant à l'empeigne et jointes sur le cou-de-pied par un noeud lacé. Talon bottier haut. Semelle en cuir Pied droit|H. 120, L. 214, l. 74 ; Pds 125 g|2026-09-04|2004-06-02|costume - accessoires du costume;ethnologie|Drôme||||||||griffe|1992.17.113|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002||Drôme,Romans|Romans ; musée de la chaussure||||1963||M0986|musée de la chaussure|||Jourdan Charles : Paris, 1883/07/01 ; Paris, 1976/02/13 ; Français ; C'est en 1921 que Charles Jourdan crée la marque SEDUCTA. La première boutique à l'enseigne Charles Jourdan ouvre à Paris en 1957. Les souliers portent pour la première fois le nom de leur créateur. Par la suite, essentiellement au cours des années 60, la marque s'internationalise avec l'ouverture de boutiques à Londres, Munich, New York, Los Angeles, Miami, Tokyo. Elle évolue de plus en plus vite : de nouvelles lignes Homme et Femme sont développées, et on voit également apparaître des accessoires dans les collections. Puis dans les années 80, Karl Lagerfeld confie à Charles Jourdan la réalisation de ses chaussures. La marque SEDUCTA est relancée. Plus tard (années 90), alors que Charles Jourdan lance les lignes Charles Jourdan BIS Femme et Homme, une nouvelle collaboration voit le jour avec les créateurs Michel Perry et Claude Montana. Charles Jourdan confirme son rayonnement. Dans les années 2000, malgré un renforcement de son équipe de création et l'aide de designers de renom (Patrick Cox en 2004 ou encore Josephus Melchior Thimister en 2005), Charles Jourdan comme Stéphane Kélian subit de plein fouet la tourmente qui sévit dans l'industrie de la chaussure de luxe française. Après plusieurs redressements judiciaires, Charles Jourdan a été placé en liquidation par le tribunal de commerce de Romans en janvier 2008|||3e quart 20e siècle||Première : griffe Charles Jourdan ; Paris ; Arcade. Semelle: griffe Charles Jourdan||||||||Auvergne-Rhône-Alpes||||propriété de la commune;don manuel;Romans;musée de la chaussure|crocodile;cuir||accessoire du vêtement|Romans-sur-Isère||45.0431, 5.055376|oui|2047
09860001797|||Jourdan (collection, 13)||Dior Christian (1905-1957) (créateur);Jourdan Charles (1883-1976) (exécutant)|||oui|1992|||chaussure de femme (Salomé)||Soulier de femme, type salomé, en crocodile noir. Bout carré. Talon bottier Semelle en cuir. Pied gauche|H. 100, L. 245, l. 70 ; Pds 150 g|2026-09-04|2004-06-02|costume - accessoires du costume;ethnologie|Drôme||||||||griffe|1992.17.51|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002||Drôme,Romans|Romans ; musée de la chaussure||||1960||M0986|musée de la chaussure|||Jourdan Charles : Paris, 1883/07/01 ; Paris, 1976/02/13 ; Français ; C'est en 1921 que Charles Jourdan crée la marque SEDUCTA. La première boutique à l'enseigne Charles Jourdan ouvre à Paris en 1957. Les souliers portent pour la première fois le nom de leur créateur. Par la suite, essentiellement au cours des années 60, la marque s'internationalise avec l'ouverture de boutiques à Londres, Munich, New York, Los Angeles, Miami, Tokyo. Elle évolue de plus en plus vite : de nouvelles lignes Homme et Femme sont développées, et on voit également apparaître des accessoires dans les collections. Puis dans les années 80, Karl Lagerfeld confie à Charles Jourdan la réalisation de ses chaussures. La marque SEDUCTA est relancée. Plus tard (années 90), alors que Charles Jourdan lance les lignes Charles Jourdan BIS Femme et Homme, une nouvelle collaboration voit le jour avec les créateurs Michel Perry et Claude Montana. Charles Jourdan confirme son rayonnement. Dans les années 2000, malgré un renforcement de son équipe de création et l'aide de designers de renom (Patrick Cox en 2004 ou encore Josephus Melchior Thimister en 2005), Charles Jourdan comme Stéphane Kélian subit de plein fouet la tourmente qui sévit dans l'industrie de la chaussure de luxe française. Après plusieurs redressements judiciaires, Charles Jourdan a été placé en liquidation par le tribunal de commerce de Romans en janvier 2008|||3e quart 20e siècle||Première : griffe Souliers Christian Dior||||||||Auvergne-Rhône-Alpes||||propriété de la commune;don manuel;Romans;musée de la chaussure|crocodile;cuir||accessoire du vêtement|Romans-sur-Isère||45.0431, 5.055376|oui ; oui|2028 ; 2047
09860001817|||Jourdan (collection, 13)||Jourdan Charles (1883-1976)|||oui|1992|||escarpin||Escarpin pour femme en crocodile noir. Talon Louis XV recouvert. Semelle en cuir. Pied gauche. N.B. Bonbout abîmé|H. 125, L. 245, l. 74 ; Pds 160 g|2026-09-04|2004-06-02|costume - accessoires du costume;ethnologie|Drôme||||||||griffe|1992.17.71|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002||Drôme,Romans|Romans ; musée de la chaussure||||1960||M0986|musée de la chaussure|||Jourdan Charles : Paris, 1883/07/01 ; Paris, 1976/02/13 ; Français ; C'est en 1921 que Charles Jourdan crée la marque SEDUCTA. La première boutique à l'enseigne Charles Jourdan ouvre à Paris en 1957. Les souliers portent pour la première fois le nom de leur créateur. Par la suite, essentiellement au cours des années 60, la marque s'internationalise avec l'ouverture de boutiques à Londres, Munich, New York, Los Angeles, Miami, Tokyo. Elle évolue de plus en plus vite : de nouvelles lignes Homme et Femme sont développées, et on voit également apparaître des accessoires dans les collections. Puis dans les années 80, Karl Lagerfeld confie à Charles Jourdan la réalisation de ses chaussures. La marque SEDUCTA est relancée. Plus tard (années 90), alors que Charles Jourdan lance les lignes Charles Jourdan BIS Femme et Homme, une nouvelle collaboration voit le jour avec les créateurs Michel Perry et Claude Montana. Charles Jourdan confirme son rayonnement. Dans les années 2000, malgré un renforcement de son équipe de création et l'aide de designers de renom (Patrick Cox en 2004 ou encore Josephus Melchior Thimister en 2005), Charles Jourdan comme Stéphane Kélian subit de plein fouet la tourmente qui sévit dans l'industrie de la chaussure de luxe française. Après plusieurs redressements judiciaires, Charles Jourdan a été placé en liquidation par le tribunal de commerce de Romans en janvier 2008|||3e quart 20e siècle||Première : griffe Séducta ; Charles Jourdan ; 5, Boulevard de la Madeleine Paris||||||||Auvergne-Rhône-Alpes||||propriété de la commune;don manuel;Romans;musée de la chaussure|crocodile;cuir||accessoire du vêtement|Romans-sur-Isère||45.0431, 5.055376|oui|2047
09860001841|||Jourdan (collection, 13)||Dior Christian (1905-1957) (créateur);Jourdan Charles (1883-1976) (exécutant)||Pour Christian Dior|oui|1992|||nu-pied||Nu-pied pour femme en crocodile beige. Quartier arrière découvert. Bout découvert. Claque décorée d'une large lanière appliquée et d'une boucle carrée recouverte. Petit talon recouvert. Semelle en cuir. Pied gauche|H. 70, L. 225, l. 80 ; Pds 148 g|2026-09-04|2004-06-02|costume - accessoires du costume;ethnologie|Drôme||||||||griffe|1992.17.95|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002||Drôme,Romans|Romans ; musée de la chaussure||||1961||M0986|musée de la chaussure|||Jourdan Charles : Paris, 1883/07/01 ; Paris, 1976/02/13 ; Français ; C'est en 1921 que Charles Jourdan crée la marque SEDUCTA. La première boutique à l'enseigne Charles Jourdan ouvre à Paris en 1957. Les souliers portent pour la première fois le nom de leur créateur. Par la suite, essentiellement au cours des années 60, la marque s'internationalise avec l'ouverture de boutiques à Londres, Munich, New York, Los Angeles, Miami, Tokyo. Elle évolue de plus en plus vite : de nouvelles lignes Homme et Femme sont développées, et on voit également apparaître des accessoires dans les collections. Puis dans les années 80, Karl Lagerfeld confie à Charles Jourdan la réalisation de ses chaussures. La marque SEDUCTA est relancée. Plus tard (années 90), alors que Charles Jourdan lance les lignes Charles Jourdan BIS Femme et Homme, une nouvelle collaboration voit le jour avec les créateurs Michel Perry et Claude Montana. Charles Jourdan confirme son rayonnement. Dans les années 2000, malgré un renforcement de son équipe de création et l'aide de designers de renom (Patrick Cox en 2004 ou encore Josephus Melchior Thimister en 2005), Charles Jourdan comme Stéphane Kélian subit de plein fouet la tourmente qui sévit dans l'industrie de la chaussure de luxe française. Après plusieurs redressements judiciaires, Charles Jourdan a été placé en liquidation par le tribunal de commerce de Romans en janvier 2008|||3e quart 20e siècle||Semelle: Made in France ; Première : griffe Souliers Christian Dior ; Spartes||||||||Auvergne-Rhône-Alpes||||propriété de la commune;don manuel;Romans;musée de la chaussure|crocodile;cuir||accessoire du vêtement|Romans-sur-Isère||45.0431, 5.055376|oui ; oui|2028 ; 2047
09860001826|||Jourdan (collection, 13)||Jourdan Charles (1883-1976)|||oui|1992|||escarpin||Escarpin pour femme en crocodile noir. Application d'une bride transversale sur la claque. Bout oblique. Talon bottier. Semelle en cuir. Pied gauche|H. 115, L. 235, l. 70 ; Pds 144 g|2026-09-04|2004-06-02|costume - accessoires du costume;ethnologie|Drôme||||||||griffe|1992.17.80|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002||Drôme,Romans|Romans ; musée de la chaussure||||1961||M0986|musée de la chaussure|||Jourdan Charles : Paris, 1883/07/01 ; Paris, 1976/02/13 ; Français ; C'est en 1921 que Charles Jourdan crée la marque SEDUCTA. La première boutique à l'enseigne Charles Jourdan ouvre à Paris en 1957. Les souliers portent pour la première fois le nom de leur créateur. Par la suite, essentiellement au cours des années 60, la marque s'internationalise avec l'ouverture de boutiques à Londres, Munich, New York, Los Angeles, Miami, Tokyo. Elle évolue de plus en plus vite : de nouvelles lignes Homme et Femme sont développées, et on voit également apparaître des accessoires dans les collections. Puis dans les années 80, Karl Lagerfeld confie à Charles Jourdan la réalisation de ses chaussures. La marque SEDUCTA est relancée. Plus tard (années 90), alors que Charles Jourdan lance les lignes Charles Jourdan BIS Femme et Homme, une nouvelle collaboration voit le jour avec les créateurs Michel Perry et Claude Montana. Charles Jourdan confirme son rayonnement. Dans les années 2000, malgré un renforcement de son équipe de création et l'aide de designers de renom (Patrick Cox en 2004 ou encore Josephus Melchior Thimister en 2005), Charles Jourdan comme Stéphane Kélian subit de plein fouet la tourmente qui sévit dans l'industrie de la chaussure de luxe française. Après plusieurs redressements judiciaires, Charles Jourdan a été placé en liquidation par le tribunal de commerce de Romans en janvier 2008|||3e quart 20e siècle||Première : griffe Charles Jourdan ; Paris ; Judith. Semelle: griffe Charles Jourdan||||||||Auvergne-Rhône-Alpes||||propriété de la commune;don manuel;Romans;musée de la chaussure|crocodile;cuir||accessoire du vêtement|Romans-sur-Isère||45.0431, 5.055376|oui|2047
09860001858|||Jourdan (collection, 13)||Jourdan Charles (1883-1976)|||oui|1992|||escarpin||Escarpin pour femme en crocodile moutarde. Larges lanières croisées formant l'empeigne. Bout et quartier arrière découverts. Talon bottier assez haut Semelle en cuir. Pied gauche|H. 110, L. 215, l. 72 ; Pds 122 g|2026-09-04|2004-06-02|costume - accessoires du costume;ethnologie|Drôme||||||||griffe|1992.17.112|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002||Drôme,Romans|Romans ; musée de la chaussure||||1962||M0986|musée de la chaussure|||Jourdan Charles : Paris, 1883/07/01 ; Paris, 1976/02/13 ; Français ; C'est en 1921 que Charles Jourdan crée la marque SEDUCTA. La première boutique à l'enseigne Charles Jourdan ouvre à Paris en 1957. Les souliers portent pour la première fois le nom de leur créateur. Par la suite, essentiellement au cours des années 60, la marque s'internationalise avec l'ouverture de boutiques à Londres, Munich, New York, Los Angeles, Miami, Tokyo. Elle évolue de plus en plus vite : de nouvelles lignes Homme et Femme sont développées, et on voit également apparaître des accessoires dans les collections. Puis dans les années 80, Karl Lagerfeld confie à Charles Jourdan la réalisation de ses chaussures. La marque SEDUCTA est relancée. Plus tard (années 90), alors que Charles Jourdan lance les lignes Charles Jourdan BIS Femme et Homme, une nouvelle collaboration voit le jour avec les créateurs Michel Perry et Claude Montana. Charles Jourdan confirme son rayonnement. Dans les années 2000, malgré un renforcement de son équipe de création et l'aide de designers de renom (Patrick Cox en 2004 ou encore Josephus Melchior Thimister en 2005), Charles Jourdan comme Stéphane Kélian subit de plein fouet la tourmente qui sévit dans l'industrie de la chaussure de luxe française. Après plusieurs redressements judiciaires, Charles Jourdan a été placé en liquidation par le tribunal de commerce de Romans en janvier 2008|||3e quart 20e siècle||Première : griffe Charles Jourdan Paris ; Stuart. Semelle: griffe Charles Jourdan||||||||Auvergne-Rhône-Alpes||||propriété de la commune;don manuel;Romans;musée de la chaussure|crocodile;cuir||accessoire du vêtement|Romans-sur-Isère||45.0431, 5.055376|oui|2047
09860001771|||Jourdan (collection, 13)||Dior Christian (1905-1957) (créateur);Jourdan Charles (1883-1976) (exécutant)||Pour Christian Dior|oui|1992|||escarpin||Escarpin pour femme en peau de crocodile noir. Bout pointu. Talon Louis XV. Semelle en cuir. Pied gauche. N.B. Chaussure faite d'une seule pièce de crocodile|H. 120, L. 235, l. 70 ; Pds 138 g|2026-09-04|2004-06-02|costume - accessoires du costume;ethnologie|Drôme||||||||griffe|1992.17.25|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002||Drôme,Romans|Romans ; musée de la chaussure||||1960||M0986|musée de la chaussure|||Jourdan Charles : Paris, 1883/07/01 ; Paris, 1976/02/13 ; Français ; C'est en 1921 que Charles Jourdan crée la marque SEDUCTA. La première boutique à l'enseigne Charles Jourdan ouvre à Paris en 1957. Les souliers portent pour la première fois le nom de leur créateur. Par la suite, essentiellement au cours des années 60, la marque s'internationalise avec l'ouverture de boutiques à Londres, Munich, New York, Los Angeles, Miami, Tokyo. Elle évolue de plus en plus vite : de nouvelles lignes Homme et Femme sont développées, et on voit également apparaître des accessoires dans les collections. Puis dans les années 80, Karl Lagerfeld confie à Charles Jourdan la réalisation de ses chaussures. La marque SEDUCTA est relancée. Plus tard (années 90), alors que Charles Jourdan lance les lignes Charles Jourdan BIS Femme et Homme, une nouvelle collaboration voit le jour avec les créateurs Michel Perry et Claude Montana. Charles Jourdan confirme son rayonnement. Dans les années 2000, malgré un renforcement de son équipe de création et l'aide de designers de renom (Patrick Cox en 2004 ou encore Josephus Melchior Thimister en 2005), Charles Jourdan comme Stéphane Kélian subit de plein fouet la tourmente qui sévit dans l'industrie de la chaussure de luxe française. Après plusieurs redressements judiciaires, Charles Jourdan a été placé en liquidation par le tribunal de commerce de Romans en janvier 2008|||3e quart 20e siècle||Première : griffe Souliers Christian Dior||||||||Auvergne-Rhône-Alpes||||propriété de la commune;don manuel;Romans;musée de la chaussure|crocodile;cuir||accessoire du vêtement|Romans-sur-Isère||45.0431, 5.055376|oui ; oui|2028 ; 2047
09860001798|||Jourdan (collection, 13)||Dior Christian (1905-1957) (créateur);Jourdan Charles (1883-1976) (exécutant)||Pour Christian Dior|oui|1992|||chaussure de femme||Soulier pour femme en crocodile noir. Quartier arrière découvert. Décolleté arrondi sur le cou-de-pied. Bout carré. Quartiers arrières se rejoignant en une large bride transversale appliquée sur la claque et se terminant sur le côté droit. Petit talon carré recouvert. Semelle en cuir. Pied droit|H. 90, L. 232, l. 70 ; Pds 126 g|2026-09-04|2004-06-02|costume - accessoires du costume;ethnologie|Drôme||||||||griffe|1992.17.52|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002||Drôme,Romans|Romans ; musée de la chaussure||||1960||M0986|musée de la chaussure|||Jourdan Charles : Paris, 1883/07/01 ; Paris, 1976/02/13 ; Français ; C'est en 1921 que Charles Jourdan crée la marque SEDUCTA. La première boutique à l'enseigne Charles Jourdan ouvre à Paris en 1957. Les souliers portent pour la première fois le nom de leur créateur. Par la suite, essentiellement au cours des années 60, la marque s'internationalise avec l'ouverture de boutiques à Londres, Munich, New York, Los Angeles, Miami, Tokyo. Elle évolue de plus en plus vite : de nouvelles lignes Homme et Femme sont développées, et on voit également apparaître des accessoires dans les collections. Puis dans les années 80, Karl Lagerfeld confie à Charles Jourdan la réalisation de ses chaussures. La marque SEDUCTA est relancée. Plus tard (années 90), alors que Charles Jourdan lance les lignes Charles Jourdan BIS Femme et Homme, une nouvelle collaboration voit le jour avec les créateurs Michel Perry et Claude Montana. Charles Jourdan confirme son rayonnement. Dans les années 2000, malgré un renforcement de son équipe de création et l'aide de designers de renom (Patrick Cox en 2004 ou encore Josephus Melchior Thimister en 2005), Charles Jourdan comme Stéphane Kélian subit de plein fouet la tourmente qui sévit dans l'industrie de la chaussure de luxe française. Après plusieurs redressements judiciaires, Charles Jourdan a été placé en liquidation par le tribunal de commerce de Romans en janvier 2008|||3e quart 20e siècle||Première : griffe Souliers Christian Dior ; Tabarin||||||||Auvergne-Rhône-Alpes||||propriété de la commune;don manuel;Romans;musée de la chaussure|crocodile;cuir||accessoire du vêtement|Romans-sur-Isère||45.0431, 5.055376|oui ; oui|2028 ; 2047
