museum,city,country,lead_source,lead_detail,source_reliability,resolution,x_agents
Musée d'Archéologie nationale,Saint-Germain-en-Laye,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
"Musée d'Art, Histoire et Archéologie",Évreux,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Musée d'Histoire naturelle de Lille,Lille,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Musée de Grenoble,Grenoble,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Musée de la Castre,Cannes,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Musée de la Chartreuse,Douai,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Musée de la Romanité / Muséum de Nîmes,Nîmes,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Musée de Picardie,Amiens,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Musée départemental Arles antique,Arles,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Musée des Antiquités,Rouen,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Musée des Beaux-Arts de Dijon,Dijon,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Musée des Beaux-Arts de Lyon,Lyon,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Musée des Confluences (former Muséum d'histoire naturelle de Lyon),Lyon,FR,"https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0279137; Gaillard & Daressy 1905 p. 67; De Cupere et al. 2023 PLOS ONE e0279137 (https://doi.org/10.1371/journal.pone.0279137), citing Nicolotti & Robert 1994 Nouv. Arch. Mus. Hist. Nat. Lyon 32: 4-62; Ikram, Aicardi, Facchetti (eds.), The Animal Mummies of the Museo Egizio, Turin, 2024 (https://shop.museoegizio.it/media/fcp/pdf/9788857020136a.pdf), crocodile chapter 8.12 'Parallels'","c. 300 crocodile mummies (Nicolotti & Robert 1994); MHNL 90001591 (Kom Ombo, CT, Porcier et al. 2019 JAS 110:105009); Berruyer et al. 2020 PLOS ONE e0229140; Richardin et al. 2017 Radiocarbon 59(2) 595-607 (63 animal mummies dated). Lortet & Gaillard material from Kom Ombo/Esna. | c. 300 crocodile mummies (80% juveniles/hatchlings, 10% complete larger specimens 50-350 cm, 10% heads/skulls/jaws), Lortet & Gaillard collection, provenance mostly Esna and Kom Ombo (likely) | Nicolotti, M., Les crocodiles momifies des collections du Musee Guimet d'Histoire Naturelle de Lyon, Lyon 1992 (cited)",SCHOLARLY,IN_MASTER INST-FR-002,egypt;literature;southern_europe
Musée des Ursulines,Mâcon,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Musée Dobrée,Nantes,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Musée du Biterrois,Béziers,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Musée du Louvre-Lens,Lens,FR,WebSearch result: franceinfo 'Une momie de crocodile restaurée sous les yeux du public du Louvre-Lens' (not opened),Crocodile mummy restored publicly at Louvre-Lens – identify inventory (possibly Louvre N 2900 or a Louvre-Lens holding),SECONDARY,OPEN,france
Musée Georges-Labit,Toulouse,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Musée Granet,Aix-en-Provence,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Musée Joseph-Déchelette,Roanne,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Musée national de Céramique,Sèvres,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Musée Rolin,Autun,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Musée Saint-Remi,Reims,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Musée Sainte-Croix,Poitiers,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Musée Sandelin,Saint-Omer,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Musée zoologique de Strasbourg,Strasbourg,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Muséum d'histoire naturelle de Rouen,Rouen,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Muséum de Bordeaux,Bordeaux,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Muséum de Grenoble,Grenoble,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Muséum de La Rochelle,La Rochelle,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Muséum de Nantes,Nantes,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Muséum de Toulouse,Toulouse,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Muséum du Havre,Le Havre,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Muséum national d'Histoire naturelle,Paris,FR,"Hekkala et al. 2022 Table 1; GBIF occurrence search country=EG familyKey=5685; Hekkala et al. 2011 Molecular Ecology 20, Table 2 and Table S3 (same PDF); GBIF occurrence API taxonKey=11493978&country=EG; Hekkala et al. 2011, Molecular Ecology 20: 4199-4215, Table S3; GBIF occurrence API, Crocodylidae country=EG (raw/gbif_croc_EG.json)","MNHN-RA-1886.445 (juv., Haute Egypte, Schoelcher); 1986.1471/.1473/.1479 (Thebes, Cailliaud); 1986.1475/.1478 (Samoun, Gervais); 1986.148 (Samoun, Pariset) | MNHN RA 1901.214 and 1901.215 locality 'Sepultures de Comnunbo' (Kom Ombo tombs); MNHN RA 1986.1475-1478, 1986.1480 'Grotte de Samoun' (Maabda crocodile caves); RA 1986.1471-1474 'Grottes sepulcrales de Thebes' - likely mummified crocodiles | Crocodile mummies MNHN 1986-1471, 1986-1473, 1986-1479 (Grottes de Thebes, Cailliaud 1820s), 1886-445 (Haute Egypte, V. Schoelcher), 1986-1475, 1986-1478 (Grottes de Samoun, Gervais), 1986-1480 (Samoun, Pariset). Hatchlings yielded DNA. | MNHN 1901.214 and 1901.215 'Sepultures de Comnunbo' (= Kom Ombo tombs?); 1986.1471-1480 Grottes de Samoun / Grottes sepulcrales de Thebes (mummies, see Hekkala 2011) | Crocodile hatchling mummies MNHN 1986_1475, 1986_1478, 1986_1480 (Grottes de Samoun; Gervais/Pariset), 1986_1471, 1986_1473, 1986_1479 (Grottes de Thebes; Cailliaud 1820s), 1886_445 (Haute Egypte; V. Schoelcher). | MNHN RA 1901.214 and 1901.215 Crocodylus niloticus, locality 'Sépultures de Comnunbo' (Kom Ombo burials); also MNHN RA 1986.1471-1480 Samoun/Thebes",SCHOLARLY; OFFICIAL,IN_MASTER INST-FR-004,literature;usa_midwest_west;usa_northeast;usa_south
Muséum national d'Histoire naturelle (MNHN) - Anatomie comparée,Paris,FR,GBIF facet institutionCode=MNHN taxonKey=11493978 (collections ra/f/za/ucj only),"MNHN comparative-anatomy (AC) crocodilian material is not published to GBIF; science.mnhn.fr blocked (403). Also RA 1886.445 ('Haute Égypte', 1886; photo of dark desiccated juvenile) and RA 0.2156 ('Joannis et Jorès', Égypte) need label check.",OFFICIAL,OPEN,biodiversity
Muséum Requien,Avignon,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Muséum Victor Brun,Montauban,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'. Brief said synchrotron study (Porcier et al. 2019) – that study is actually MdC Lyon 90001591; Montauban holdings still unchecked,SECONDARY,OPEN,france
Nice museums,Nice,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Orléans museums,Orléans,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Palais des Beaux-Arts,Lille,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Rochefort museums,Rochefort,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Tours museums,Tours,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Troyes museums (Saint-Loup),Troyes,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Valenciennes museum,Valenciennes,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Vienne museums,Vienne,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Villeneuve-sur-Lot museum,Villeneuve-sur-Lot,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Ashmolean Museum (University of Oxford),Oxford,GB,https://ancientegyptbiobank.wordpress.com/2016/01/25/a-very-early-visit-to-oxford/,Bio Bank blog shows an Oxford object card for a 'Mummy of baby crocodile' (institution implied as Ashmolean; verify).,SECONDARY,OPEN,uk_north
Ashmolean Museum; Pitt Rivers Museum; Oxford University Museum of Natural History,Oxford,GB,assignment checklist,Not searched (budget). Resume: https://collections.ashmolean.org/collection/search?q=crocodile%20mummy ; https://prm.web.ox.ac.uk/collections-online#/search/simple-search/crocodile ; OUMNH via GBIF/Data portal 'Crocodylus mummified',SECONDARY,OPEN,uk_south
Blackburn Museum and Art Gallery,Blackburn,GB,uk_north assignment list / Ancient Egyptian Animal Bio Bank blog (ancientegyptbiobank.wordpress.com),Assignment candidate; not checked.,SECONDARY,OPEN,uk_north
Bristol Museum & Art Gallery,Bristol,GB,https://museums.bristol.gov.uk/details.php?irn=84869; https://museums.bristol.gov.uk/details.php?irn=82205,"WebSearch for crocodile mummy returned these Bristol collection records (not opened). | H3034 mummified baby crocodile (Stobart gift 1927), from search snippets only; also irn=120108, 80239, 187329, 80562 unread. Site failed TLS/503 in this session",SECONDARY; OFFICIAL,IN_MASTER INST-GB-003,uk_north;uk_south
British Museum,London,GB,"DigitalNZ/Papers Past: 'A CROCODILE MUMMY', Bruce Herald 5 Feb 1897; https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0279137; Hekkala et al. 2022, p. 5; Hekkala et al. 2011, Molecular Ecology 20, Table S3; De Cupere et al. 2023 PLOS ONE e0279137, citing Anderson & Antoine 2019 in Creatures of Earth, Water, and Sky pp. 31-37; Baber, T.T. 2019, in Creatures of Earth, Water, and Sky (Sidestone) p. 75 (https://www.sidestone.com/openaccess/9789088907722.pdf); https://www.britishmuseum.org/collection/object/Y_EA6850; Hekkala et al. 2011 Molecular Ecology 20, Table S3 (same PDF); Hekkala et al. 2011, Molecular Ecology 20: 4199-4215, Table S3","1897 note: unrolled embalmed crocodile 'over 18ft' placed on exhibition in the Third Egyptian Room, British Museum | EA 38562: c. 4 m crocodile from Kom Ombo with mummified hatchlings on its back; CT (Anderson & Antoine 2019, 'Scanning Sobek', in Porcier, Ikram & Pasquali eds, Creatures of earth, water and sky, Sidestone, pp. 31-37). | Crocodile mummy EA38562 cited as example | Crocodile mummies sampled: BM 35734, 35726, 35747, 35751, 6837, 6847 (several Manfalut, E.J. Andrews) | large crocodile mummy from Kom Ombo, CT-scanned and radiocarbon dated | Mummies from the Maabdeh crocodile pits in BM: EA35730-2, EA6836-7, EA6847-9, EA35765 - verify whether crocodile mummies | EA6850 bundle of small crocodile mummies (search snippet only); the whole BM DB could not be searched (Cloudflare 403). Resume in a real browser: https://www.britishmuseum.org/collection/search?keyword=crocodile&object=animal%20mummy ; also check EA20764, EA6768, EA6813 | Six crocodile mummies sampled: BM 35734, 35726, 35747, 35751, 6837, 6847 (several 'Mummy Manfalut', collector E.J. Andrews). Probably EA numbers. | Crocodile mummies sampled: BM 35734, 35726, 35747, 35751, 6837, 6847 (several Manfalut; E.J. Andrews).",SECONDARY; SCHOLARLY; OFFICIAL,IN_MASTER INST-GB-004,canada_oceania;egypt;france;literature;uk_south;usa_northeast;usa_south
Cheltenham College (collection dispersed),Cheltenham,GB,https://www.liverpoolmuseums.org.uk/artifact/mummified-crocodile-9,World Museum 1976.159.270 crocodile mummy 'Purchased From Cheltenham College' 1975; college museum sold material - check if other crocodile mummies went elsewhere.,OFFICIAL,OPEN,uk_north
"Egypt Centre, Swansea University; Amgueddfa Cymru - National Museum Cardiff",Swansea; Cardiff,GB,assignment checklist,Not searched (budget). Resume: Egypt Centre online catalogue (egypt.swan.ac.uk collection search 'crocodile'); https://museum.wales/collections/online/?terms=crocodile%20mummy,SECONDARY,OPEN,uk_south
Egypt Exploration Society (photo archive),London,GB,https://guides.lib.berkeley.edu/objectlessons/dying,"Photograph by Arthur Hunt of various sized crocodile and cat mummies at Tebtunis 1899-1900, EES GR.NEG.067 (archive photo, not an object)",OFFICIAL,OPEN,usa_midwest_west
Fitzwilliam Museum; Cambridge University Museum of Zoology; Museum of Archaeology and Anthropology (MAA); Duckworth Laboratory,Cambridge,GB,assignment checklist,Not searched (budget). Resume: https://data.fitzmuseum.cam.ac.uk/search/results?query=crocodile%20mummy ; https://collections.maa.cam.ac.uk/objects/?query=crocodile ; https://www.museum.zoo.cam.ac.uk (collections search),SECONDARY,OPEN,uk_south
Garstang Museum of Archaeology (University of Liverpool),Liverpool,GB,uk_north assignment list / Ancient Egyptian Animal Bio Bank blog (ancientegyptbiobank.wordpress.com),Garstang excavated Esna 1905-06 (many Esna crocodiles/eggs now in World Museum); site garstang.liverpool.ac.uk unreachable (curl 000).,SECONDARY,OPEN,uk_north
Great North Museum: Hancock,Newcastle upon Tyne,GB,uk_north assignment list / Ancient Egyptian Animal Bio Bank blog (ancientegyptbiobank.wordpress.com),TWAM collections search collections.twmuseums.org.uk unreachable; not checked.,SECONDARY,OPEN,uk_north
Grosvenor Museum,Chester,GB,uk_north assignment list / Ancient Egyptian Animal Bio Bank blog (ancientegyptbiobank.wordpress.com),Assignment candidate; not checked.,SECONDARY,OPEN,uk_north
Harris Museum,Preston,GB,uk_north assignment list / Ancient Egyptian Animal Bio Bank blog (ancientegyptbiobank.wordpress.com),Assignment candidate; not checked.,SECONDARY,OPEN,uk_north
Horniman Museum and Gardens,London,GB,https://www.horniman.ac.uk/search/collection/?keyword=mummified%20crocodile,"Keyword 'mummified crocodile' returns 3 objects: /object/4505 (overall 1750 mm), /object/nn9438 (590 mm), /object/26.4.54/2 (cartonnage mask, 254 x 190.5 mm); 'crocodile mummy' 4 results. Object pages show no description in HTML; check the 'Download JSON' data on each page",OFFICIAL,OPEN,uk_south
Hull and East Riding Museum; Sheffield Museums (Weston Park); Bradford (Cliffe Castle); Bankfield Halifax; Tolson Huddersfield; Wakefield; Doncaster; Whitby; Scarborough Rotunda,Yorkshire,GB,uk_north assignment list / Ancient Egyptian Animal Bio Bank blog (ancientegyptbiobank.wordpress.com),Assignment candidates; not checked (Sheffield DB unreachable).,SECONDARY,OPEN,uk_north
The Hunterian (University of Glasgow),Glasgow,GB,uk_north assignment list / Ancient Egyptian Animal Bio Bank blog (ancientegyptbiobank.wordpress.com),"Not checked (catalogue URL guessed wrongly, 404).",SECONDARY,OPEN,uk_north
Kendal Museum,Kendal,GB,uk_north assignment list / Ancient Egyptian Animal Bio Bank blog (ancientegyptbiobank.wordpress.com),Assignment candidate; not checked.,SECONDARY,OPEN,uk_north
Lancaster City Museum,Lancaster,GB,uk_north assignment list / Ancient Egyptian Animal Bio Bank blog (ancientegyptbiobank.wordpress.com),Assignment candidate; not checked.,SECONDARY,OPEN,uk_north
Leeds Museums and Galleries (Leeds City Museum / Discovery Centre),Leeds,GB,uk_north assignment list / Ancient Egyptian Animal Bio Bank blog (ancientegyptbiobank.wordpress.com),Assignment candidate; not checked.,SECONDARY,OPEN,uk_north
Leicester Museums; Nottingham Castle; University of Nottingham Museum; Derby Museums; Potteries Museum Stoke; Shrewsbury; Worcester; Warwick; Northampton; Lincoln; Kettering; Peterborough; Herbert Coventry; Wolverhampton; University of Birmingham collections,English Midlands,GB,uk_north assignment list / Ancient Egyptian Animal Bio Bank blog (ancientegyptbiobank.wordpress.com),Assignment candidates; not checked. Note: Gilstrap Museum Newark's Egyptian material (incl. Kafr Ammar crocodile items) transferred to Liverpool 1952.,SECONDARY,OPEN,uk_north
Maidstone Museum,Maidstone,GB,"Ikram, Aicardi, Facchetti (eds.), The Animal Mummies of the Museo Egizio, Turin, 2024 (https://shop.museoegizio.it/media/fcp/pdf/9788857020136a.pdf), crocodile chapter 8.12 'Parallels'",Crocodile parallels cited: MaM EA19/1 (1868-100); EA496; EA 503 and 504 (crocodile legs/parts),SCHOLARLY,OPEN,southern_europe
Manchester Museum,Manchester,GB,"https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0279137; Pubblico 2025, Heritage 8:415 (https://doi.org/10.3390/heritage8100415), figs. 5d and 17; De Cupere et al. 2023 PLOS ONE e0279137, citing McKnight, Atherton-Woolham & Adams 2015 RadioGraphics 35: 2108-2120; Porcier et al. 2019 JAS 110:105009 (HAL hal-03487884), citing McKnight et al. 2015 RadioGraphics 35: 2108-2120; Ikram, Aicardi, Facchetti (eds.), The Animal Mummies of the Museo Egizio, Turin, 2024 (https://shop.museoegizio.it/media/fcp/pdf/9788857020136a.pdf), crocodile chapter 8.12 'Parallels'; Crossref: 'Imaging Ancient Egyptian Crocodile Mummies from Hawara', Current Research in Egyptology 2014 (2015), doi 10.2307/j.ctvh1ds9d.20; Porcier et al. 2019 (MM9, 1772)","Museum acquisition no. 1772 (Ancient Egyptian Animal Bio Bank AEABB90), c. 1.6 m crocodile, unknown provenance, depressed skull fracture (McKnight et al.); also Atherton-Woolham 2015 'Imaging Ancient Egyptian Crocodile Mummies from Hawara' (CRE 2014). | Crocodile mummies MM 7892 and MM 12008 (3D models) | crocodile mummies radiographed/CT-scanned (Manchester Museum) | mummified crocodile with cranial fracture, 'MM9, 1772', provenance unknown; also Atherton-Woolham 2015 'Imaging Ancient Egyptian Crocodile Mummies from Hawara' (CRE 2014, doi 10.2307/j.ctvh1ds9d.20) | Crocodile parallels cited: MM 12008 (22941), 12010 (22943) | Crocodile mummies from Hawara (Petrie excavations) imaged by the Manchester Ancient Egyptian Animal Bio Bank; Manchester acquisition no. 1772 (provenance unknown) has depressed skull fracture",SCHOLARLY,IN_MASTER INST-GB-005,egypt;france;literature;southern_europe;toponyms
National Museums Liverpool (World Museum),Liverpool,GB,"Ikram, Aicardi, Facchetti (eds.), The Animal Mummies of the Museo Egizio, Turin, 2024 (https://shop.museoegizio.it/media/fcp/pdf/9788857020136a.pdf), crocodile chapter 8.12 'Parallels'; https://www.liverpoolmuseums.org.uk/artifact/mummified-crocodile-5","Crocodile parallel cited: NML 14289 | Artifact pages titled 'Mummified Crocodile' (numbered slugs, at least -5)",SCHOLARLY; OFFICIAL,OPEN,southern_europe;uk_south
National Museums Scotland,Edinburgh,GB,uk_north assignment list / Ancient Egyptian Animal Bio Bank blog (ancientegyptbiobank.wordpress.com),nms.ac.uk collection search returns 403; Bio Bank blog 2014-06-09 notes no animal mummies on display (storage unknown).,SECONDARY,OPEN,uk_north
"Natural History Museum, London (NHMUK)",London,GB,"NHM Data Portal API (raw/nhm_croc_egypt.json); Anderson & Antoine 2019 p. 32 n.1; Whitehead & Keates 1981: 73; GBIF occurrence 1056691432 (https://www.gbif.org/occurrence/1056691432); GBIF occurrence API taxonKey=11493978&country=EG (raw/gbif_crocodylia_EG.json); GBIF occurrence API, Crocodylidae country=EG","Skulls not described as mummified but from Petrie's excavations: 1911.8.15.1 (Hawara, Fayum; donor 'F Petrie'), 1889.9.20.1 (Lower Egypt). Check NHM registers for mummy origin. | Kom Ombo crocodile mummy (de Morgan gift 1895) in reptile collection; inventory number not given | NHMUK 1977.448 Crocodylus niloticus, full-text match 'mummified' - may or may not be an Egyptian mummy | Crocodylus niloticus specimens NHMUK 1976.290 and 1976.291 (Hawara, Fayum / 'E. of Labyrinth', Hawara, collector W.M.F. Petrie), 1911.8.15.1 (Hawara, Fayum), 1889.9.20.1 (Lower Egypt, Petrie) - possibly mummified crocodiles from Hawara | NHMUK 1976.290, 1976.291 ('E. of Labyrinth', Hawara, Fayum), 1911.8.15.1 (Hawara, Fayum) Crocodylus niloticus - possibly mummy-derived",OFFICIAL; SCHOLARLY,IN_MASTER INST-GB-007,biodiversity;literature;rest_of_world;usa_northeast;usa_south
Norwich Castle Museum,Norwich,GB,"Kalloniatis, F. 2019. Animal Mummies. In: The Egyptian Collection at Norwich Castle Museum (Oxbow), doi 10.2307/j.ctv138wsm3.29",catalogue chapter on animal mummies; crocodiles to check,SCHOLARLY,OPEN,literature
Norwich Castle Museum and Art Gallery,Norwich,GB,https://content.liverpoolmuseums.org.uk/jsonapi/node/artifact?filter%5Bfield_number%5D=56.21.537,"NML records show many crocodile mummies were 'Purchased from the collections of Norwich Castle Museum' in 1956 (56.21.512-518, 537, 545; 56.22.223; 56.22.405a-e). Check whether Norwich still holds any crocodile mummies (Kalloniatis 2019, The Egyptian Collection at Norwich Castle Museum. Catalogue and Essays, p. 15) and avoid double counting with Liverpool.",OFFICIAL,OPEN,uk_north
"Oriental Museum, Durham University",Durham,GB,uk_north assignment list / Ancient Egyptian Animal Bio Bank blog (ancientegyptbiobank.wordpress.com),collections.durham.ac.uk unreachable (curl 000); WebSearch budget exhausted before query.,SECONDARY,OPEN,uk_north
Perth Museum and Art Gallery; McManus Dundee; D'Arcy Thompson Zoology Museum; Paisley; Inverness; Stirling Smith; Montrose; Elgin; Kirkcaldy; Bell Pettigrew St Andrews,Scotland,GB,uk_north assignment list / Ancient Egyptian Animal Bio Bank blog (ancientegyptbiobank.wordpress.com),Assignment candidates; not checked.,SECONDARY,OPEN,uk_north
"Plymouth City Museum (The Box, Plymouth)",Plymouth,GB,https://ancientegyptbiobank.wordpress.com/2013/04/03/oh-i-do-like-to-be-beside-the-seaside/,"Bio Bank blog: 'the collection includes 15 mummies including birds, crocodiles and mammals'.",SECONDARY,OPEN,uk_north
