RWC5R2HJ7NKKSIRRIQGB3BDWHLIJTQQY | Krokodil | Ethnologisches Museum; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Tierfigur aus Ton | Brasilien; Mato Grosso; Berlin
W2GGAWSK5M7HTCOWB227N5GRBC35N7TX | Alligatoren und Krokodile | Deutsche Nationalbibliothek |  | Wien; Frankfurt am Main
WOCCNK3CLVXKK5XO3T7BHWWHBBPA2U3V | Krokodil auf Tieflader | digiCULT-Verbund eG; Museumsberg Flensburg | Grafik | Flensburg
YX4FEE3RRCJ2IWS6WFA3PNV232P6345T | Des Königs Krokodil | Deutsche Nationalbibliothek |  | Würzburg; Frankfurt am Main
GGQWEVYSYM32X2234I5IM7BSGSCAV52R | Relief mit Darstellung eines Krokodils mit einem Fisch im Maul | Stiftung Deutsches Historisches Museum | Negativ (Fotografie) | Berlin
OFZH6V6HSBESK7R3WLWDKUP6VVHLJMJV | "Das Krokodil und der Weiberfeind" "Zart umschrieben" | Ruprecht-Karls-Universität Heidelberg. Universitätsbibliothek; Ruprecht-Karls-Universität Heidelberg | Grafik | München; Heidelberg
S7542PEG56LDFQU2VOS4B34F6AEHRFQ6 | "Der Unwiderstehliche" "Das Krokodil und der Weiberfeind" | Ruprecht-Karls-Universität Heidelberg. Universitätsbibliothek; Ruprecht-Karls-Universität Heidelberg | Grafik | München; Heidelberg
CWBLBQJCCIYICJRR3YRFL3XFG6NM4QE5 | Die grünen Kugeln der Krokodil : Lesbische Geschichten | Digitales Deutsches Frauenarchiv; ausZeiten, Bildung, Information, Forschung und Kommunikation für Frauen e.V. - Bibliothek; ausZeiten, Bildung, Information, Forschung und Kommunikation für Frauen e.V. | Buch | 
QCKHQHE2T6XFNGUQLRX5QUCU4BKR2VFR | Das geflügelte Krokodil. Codierung von Totenbuch-Vignetten | Deutsche Nationalbibliothek |  | Turin; Ägypten; Heidelberg; Frankfurt am Main
4IZ5NRRHSKFNXTGT5HHTP776RY2SPLPK | The Dutch iron-clad 'Monitor Krokodil' | Peter Tamm Sen. Stiftung | Grafik | Hamburg
AMM6G2MU5VN3QVRFQB2Z3XU2WAK2GIVP | Eingang zum Nachtlokal Krokodil in Warschau | Deutsche Fotothek; Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden | Fotografie | Warschau
GR7BC25RPFWLZWKS3Z4JDH7B3YR7MLWB | Eingang zum Nachtlokal Krokodil in Warschau | Deutsche Fotothek; Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden | Fotografie | Warschau
GWAX47R2K43AHNFB2SZD3BIBCR5KU2ZS | III. Schammerl und Kasperl als Krokodil. | Staatsbibliothek zu Berlin - Preußischer Kulturbesitz; Stiftung Preußischer Kulturbesitz | Kapitel | 
JGAD7OTICTNQA2B5ABUQDGUEA5U7U2GT | Die Flucht vom "Krokodil". S. 351. | Universitätsbibliothek Bielefeld | Illustration | 
KFKGUN6DG2GFUIII22FLHZBM3K7VMAMI | Tafel: Ein Dampfschiff von Krokodilen umringt. | Universitätsbibliothek Bielefeld | Illustration | 
MAV7VMHCTTIZ6W2WGXGIMAEUCSL4AZE7 | Vierzehntes Kapitel. Den Krokodilen zur Beute. | Universitätsbibliothek Bielefeld | Kapitel | 
VAQJ3RDUZ3COADFRSHFIB6I65CMJSCEI | Eingang zum Nachtlokal Krokodil in Warschau | Deutsche Fotothek; Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden | Fotografie | Warschau
VAXPQ2L53PDDP37XOCHF2WKPMHBAP7YD | Noch einige Bemerkungen über das Krokodil. | Martin-Luther-Universität Halle-Wittenberg, Universitäts- und Landesbibliothek Sachsen-Anhalt; Martin-Luther-Universität Halle Wittenberg | Abschnitt | 
YD6DS2OO3HND6RSGKP2MJV4FVBYA3IEB | Jagd auf Wüstentiere, Nilpferde und Krokodile | Ruprecht-Karls-Universität Heidelberg. Universitätsbibliothek; Ruprecht-Karls-Universität Heidelberg | Kapitel | 
QMC27QRVYIGNSDDEZH4WJKSD3YQ72Q7G | Brandschaden KROKODIL in Horten, 11. März 1966 | Bundesarchiv | Akte | 
QPO3BQ2HIE4CXYFZFOC2OS2GMFMVB5PK | Krokodile : Expeditionen zu den Erben der Saurier | Deutsche Nationalbibliothek | Bildband | Bergisch Gladbach; Frankfurt am Main
SANIXIPZGZAIAFCYF5I6I6H3LKKTWN7C | Grundberührung KROKODIL in Wilhelmshaven, 24. Apr. 1963 | Bundesarchiv | Akte | 
AYXIQZNOZBJZTIZJDXDYHVUCQJAJB7LU | Protokollbuch der Münchener Dichtergesellschaft die Krokodile 1857-1866 - BSB Cgm 6536 | Bayerische Staatsbibliothek | Text | München
C46NNCET3KCMBWZHB5M7KJEBMZO54IYP | "D'r alde Drumbeeder" "Die dummen Krokodile" | Ruprecht-Karls-Universität Heidelberg. Universitätsbibliothek; Ruprecht-Karls-Universität Heidelberg | Grafik | München; Heidelberg
PZKDISDR3UE4RSO65J6DLYCHYN2OB3YU | [Jagd auf Krokodil unf Flisspferd; Hunting of Crocodile and Hippopotamus] | Herzog Anton Ulrich-Museum | Druckgraphik | Braunschweig
BWLNLE7U4K3MTX46SUGLMHS3MM4RONJX | Renovierung der Gaststätte "Krokodil" am Ludwigsplatz durch die Brauerei Binding | Stadtarchiv Karlsruhe | Bild | 
R4MSSEQS2XCR4Q3CA63XEE4SZPX6SMJK | In der Bar zum Krokodil. Arr; V (6), pf; As-Dur | Staatsbibliothek zu Berlin - Preußischer Kulturbesitz; Stiftung Preußischer Kulturbesitz | Handschrift | 
DYN4BEZWLVPJJZMYQ6TOTDDY4AU5ZIF4 | "Das Krokodil und er Eremit" "Hasenjagd bei Berlin" | Ruprecht-Karls-Universität Heidelberg. Universitätsbibliothek; Ruprecht-Karls-Universität Heidelberg | Grafik | München; Heidelberg
BC2YHRKZCU6TKLPZD2WU5KEV5NO2ZDW3 | Geheimnisvolles Äthopien - Von Kratern, Kreuzen und Krokodilen | Kreisarchiv Stormarn | Archivale | 
GRSN2RAOGRVLQ3X3NOJGNZYQQ2OZA62J | Eröffnung des renovierten Gasthauses zum Krokodil in der Waldstraße 63 | Stadtarchiv Karlsruhe | Bild | 
UVIH42TJJ2JT3LACB2QJJVJG75S4BP2P | Eröffnung des renovierten Gasthauses zum Krokodil in der Waldstraße 63 | Stadtarchiv Karlsruhe | Bild | 
MEGCZVI2BM3DHBFCITDX3CF4RNWC5YAP | Renovierung der Gaststätte "Krokodil" am Ludwigsplatz durch die Brauerei Binding | Stadtarchiv Karlsruhe | Bild | 
FSXROF7NPL3EWQABPDK3PSLEVNJHPOQ7 | Karlsruher Tagblatt, Beschreibung des Fanges und der Jagd der merkwürdigen Riesen-Krokodil-Familie | Badische Landesbibliothek | Beilage | 
LD3HIO5OFNXTEGZJT443RWKKU2WRRGHZ | Afrikanischer Krieger mit Lanze nach rechts, im Hintergrund ein Krokodil; nicht identifizierbare Skizze | Herzog Anton Ulrich-Museum | Zeichnung | Braunschweig
AQHKODRNXO2L6D7VUWMVQXKTOG7SW2LV | Uferlandschaft mit Krokodil : Uferlandschaft mit Krokodil. Aus: Inventions chinoises XVIII, Blatt 7. Kupferstich, koloriert, 13,3 x 26,0 cm. Dresden: Kupferstich-Kabinett in Band 1156,2 (XVIII) | Deutsche Fotothek; Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden | Fotografie | Dresden
2T2LEVJSIOPN6MSRONG5PBJAZDRCSIFD | Wie man Krokodile erwürgt | Deutsche Nationalbibliothek |  | [Köln]; Frankfurt am Main
3OR2Q364UE5FJJYIL3E5ECLWQUZZBP5A | Landungsboot "Krokodil".- Baujahr 1944 | Bundesarchiv | Akte | 
BFWNDL46XE5H2V6RORH7N5E6VX3GW7YT | Weisheit der Krokodile, Die | Filminstitut Hannover | Verzeichnungseinheit | 
BHXRMAQZNWRC6HXIY5DVIL4JGZ2NYOXS | Reptilien : Schlangen, Krokodile, Chamäleons | Deutsche Nationalbibliothek | Kindersachbuch; Sachbücher und Sachbilderbücher für Kinder und Jugendliche: Tiere, Pflanzen, Natur, Umwelt | München; Frankfurt am Main
BQM4MGOQRK2Z6ELQCAXMKG53ZPJYYZZV | Plastik-Krokodil als Kunstwerk | Archive in NRW; Kreisarchiv Viersen | Zeitungsausschnitt | 
D6O4RYG7XTGP7SU2TYVJDWN6C2IBYOMA | Krokodile fliegen nicht : Satiren | Deutsche Nationalbibliothek | Text | Berlin; Frankfurt/M; Frankfurt am Main
EKTKQYJD463DSPRKO4P4X2GMPKB552L2 | Krokodil Karlsruhe am Ludwigsplatz | Landesarchiv Baden-Württemberg | Bilder | 
EM2B5CJVTBB755SYORCPBBFHJLJUQUDO | Krokodil im Nacken : Roman | Deutsche Nationalbibliothek | Jugendbuch | Deutschland; Basel; Weinheim; Frankfurt am Main
GQJONS2I6XH73I7JRLO4SWBTZDRMZETN | Das Krokodil des Grauens | Deutsche Nationalbibliothek | Anthologie | Ludwigshafen; Frankfurt am Main
IABE6LQS6G7RXVXEZAW26WWWTCEGR4AK | Krokodil im Nacken : Roman | Deutsche Nationalbibliothek | Jugendbuch | Weinheim; Frankfurt am Main
IO3J7RA62SLXUYGVWN5IKAJ3EZGUD7ZS | Tischglocke Krokodil, 1930-1935 | Landesarchiv Baden-Württemberg | Bilder | 
KB3L3ISVGHPVRDQZT6RCA5V4XM44OWLW | Das Dessin der Krokodile. | Münchner Stadtbibliothek / Monacensia im Hildebrandhaus - Literaturarchiv |  | 
NHV54TDSCHKF3NLDNW67ATJ4UHC57DSF | Masken und Krokodile : Gedichte | Deutsche Nationalbibliothek | Text | Berlin; Weimar; Frankfurt am Main
O5GRSAOG6G5MQN4EIPSYG74YJTDUBWBO | Krokodil im Nacken : Roman | Deutsche Nationalbibliothek | Jugendbuch; Jugendbücher ab 12 Jahre | Basel; Weinheim; Frankfurt am Main
ONAOZSVAPQ5ZUNWOSXYN43SPPP233XLE | Das Haus der Krokodile | Deutsche Nationalbibliothek |  | Hamburg; Frankfurt am Main
OQDIBIQ6K46L7TNH55UI33NFGHKP3DIB | Das Krokodil : 3 Erzählungen | Deutsche Nationalbibliothek |  | Berlin; Frankfurt am Main
PA5ZDWRLMAE56SWV5ZVP52EFCAXFPIB3 | Krokodile machen kleinen Handstand | Deutsche Nationalbibliothek |  | München, Wien; Frankfurt am Main
QG7J4LITRAVES67D7ET4DQAIZBWAC4MM | Das Krokodil : 3 Erzählungen | Deutsche Nationalbibliothek |  | Berlin; Frankfurt am Main
RJH2NRAO6G4PRYTJEPT74AWQUEAOIPL6 | Das Krokodil am Telefon | Deutsche Nationalbibliothek |  | [Leipzig]; Frankfurt am Main
SLDMAR4SEHP2VXAKUUVJGXG6MPR6NRN6 | Krokodil-Alarm am Wasserloch | Deutsche Nationalbibliothek | Erstlesealter, Vorschulalter; Kinderbuch | Bindlach; Frankfurt am Main
T65GP5XNHRLJZQ7AUFXFOFTTWFFLMQZW | Heidelberg: Krokodil E-Lok | Landesarchiv Baden-Württemberg | Bild | Heidelberg HD
U5DMM5G3L2M75JGAXEPDQBW7NXYIR5UQ | S. M. Panzerkanonenboot Krokodil | Bundesarchiv | Akte | 
W4IQPOW6FZHVZREPDR3R3TUAXSVMCAJV | Einsamkeit der Krokodile, Die | Filminstitut Hannover | Verzeichnungseinheit | 
WBQUR5NVRIHLN7C32SNAI3WKAG7QBJRT | Sehnsucht der Krokodile : Fabeln | Deutsche Nationalbibliothek |  | Göttingen; Frankfurt am Main
WDHP4QOLDYJ7KKYK6KG5AHEZ7DIYH7I5 | Das Krokodil im Freiballon | Deutsche Nationalbibliothek |  | Würzburg; Frankfurt am Main
AOD3CJG6CZQJNUHB6273EGPPK6IKMJL4 | "Geistesgegenwart, oder: Das improvisirte Krokodil" "Der gefährliche Knochen" | Ruprecht-Karls-Universität Heidelberg. Universitätsbibliothek; Ruprecht-Karls-Universität Heidelberg | Grafik | München; Heidelberg
XP2LWCACTHOW2JYCHAJOELH4XIZGEDMB | Krokodile : die Legende auf Schienen - Normal- und Schmalspur | Deutsche Nationalbibliothek |  | Schweiz; München; Frankfurt am Main
6U7N7XDNB2CEOKWFNJUGNRNLW3M4B7AI | [Tafel X. Nashorn, Gnu, Krokodil, Ichneumon, Zebra] | Staatsbibliothek zu Berlin - Preußischer Kulturbesitz; Stiftung Preußischer Kulturbesitz | Illustration | 
AJEZT5AOH62H6E42N47DDFXRDI76QAS3 | Prunkschlitten nach links, mit Krokodil und Fischen | Staatliche Kunstsammlungen Dresden. Kupferstich-Kabinett; Staatliche Kunstsammlungen Dresden | Zeichnung | Dresden
DCHUNORSQUAJJNWFZYBC4IRQE7RPYDPC | Häuptlingsstuhl mit geschweiftem Sitz und Krokodil-Schnitzerei | Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden | Abschnitt (Publikation) | 
HCJR7CPMSBVWJWEWBTWZ5U6XL72FRU2G | Münchhausen tötet einen Löwen und ein Krokodil. | Universitätsbibliothek Bielefeld | Illustration | 
I7C44WJATB674WVBA27CTS5KXYR3UQON | Mächtiges Krokodil, dicht bei Tandjong Poera erlegt | Staatsbibliothek zu Berlin - Preußischer Kulturbesitz; Stiftung Preußischer Kulturbesitz | Illustration | 
JLMQVTATZVWP6TJMP3ZEY4426EHCUYKE | Seit Kape, dem Krokodil... - Geschichte auf Indianisch | Technische Informationsbibliothek (TIB) | Bewegte Bilder | Hannover
KOU24TRIETR6YAOTYQVKZIWPUG3KVJHV | Der Kampf mit dem Krokodil. S. 104. | Universitätsbibliothek Bielefeld | Illustration | 
OBOS2Q6WNBEZAY6GVNRTUHONEK7B5LFL | Neunte Fabel. Der Fuchs und der Krokodil | Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden | Kapitel | 
SSHF2AWZCAQFAPSKIHXSW6IMIYQHISQ6 | Das patentierte Krokodil : [Beilage zur "Arbeiter-Jugend"] | Bibliothek für Bildungsgeschichtliche Forschung; DIPF | Leibniz-Institut für Bildungsforschung und Bildungsinformation | Aufsatz | 
TKGBSKWUMIHGB3T2CCLKTA3LJOHV7ESD | Münchhausen tötet einen Löwen und ein Krokodil. | Universitätsbibliothek Bielefeld | Illustration | 
VQRN54CDOMIUG4VXFB7ACHAGIQGIKHL2 | Kleines Krokodil im Aquarium (Altersgruppe 14-17) | Stiftung Deutsches Historisches Museum | Fotografie | Bebra; Berlin
W7NXZYGRGMKGBGZFOCBSGJX7EVQJZ5HP | Osteologie des Indischen Krokodils : eine Inaugural-Diss. | Bayerische Staatsbibliothek | Text | Tübingen; München
WTWD4STSSKKEOKM2SZAK64CSJCGZAR3M | Das Krokodil und die Wasserantilope. (Seite 98.) | Universitätsbibliothek Bielefeld | Illustration | 
WYA4PPFV7Y2DLSG4AOPNAKMWHUCNADAP | Das kleine Krokodil : Posse in 3 Acten | Bayerische Staatsbibliothek | Text | Berlin; München
QDQ4QKKB5LV77GL3DYPDPMSVJFYZ2JO6 | Eine Sammlung von Schriftstücken aus dem Kreise der Krokodile - BSB Cgm 6539 | Bayerische Staatsbibliothek | Text | München
XODSAK6C7OGGE6MOO653C3ZLHWHJUB3P | Das Krokodil : ein äußerst sonderbarer Vorfall oder Was in der Passage passierte | Jüdisches Museum Berlin. Bibliothek; Stiftung Jüdisches Museum Berlin | Monografie | Potsdam
PV3YK6NOOOVT7FV5ED55ZDSAI2XAXE5X | "Ein Gratiger" "Unerwarteter Ausgang einer Krokodils-Fütterung" "Der Eindringling" | Ruprecht-Karls-Universität Heidelberg. Universitätsbibliothek; Ruprecht-Karls-Universität Heidelberg | Grafik | München; Heidelberg
QQHUWIZ3IB5SIPNHHJWDZRB7HXOW2E42 | Terrarientiere, 2.. Schildkröten, Krokodile, Echsen / [alle Fotos vom Verf.] | Deutsche Nationalbibliothek |  | Hannover; Frankfurt am Main
DDGKVMBES76MQDYQLIHBTGIRYRRSSBG6 | Das Gelbe Krokodil - Kochbuch, 2 / Rezeptküche: Barbara Brückl ; Redaktion: Hedi Hofstadler | Deutsche Nationalbibliothek |  | Linz; Frankfurt am Main
E2F7YALQIJLZGVCVCVUAX3G7AQG77OT4 | Im Meer schwimmen Krokodile : Roman in einfacher Sprache | Deutsche Nationalbibliothek | Jugendbuch; Jugendbücher ab 12 Jahre | Afghanistan; Italien; Münster; Frankfurt am Main
OMBOSGHMUEFM2D2TQF2MREV42VXMFJ67 | Ein Brot-Krokodil ist der Party-Gag des Sommers | Archive in NRW; Kreisarchiv Viersen | Zeitungsausschnitt | 
3JBXII5HUJNIDZH5QKHZEZA5WUG2DWYN | Mein erstes Krokodil bei Achmet Aga [Reise nach dem Sudan, Band 2] | Leibniz-Institut für Länderkunde e. V. | Fotografie | Leipzig
HBSWS42WTYBVEEOWMLDWWFQKCMSQU2PF | Gejagtes Krokodil auf dem Flussdampfer "Omdurman" [Reise nach dem Sudan, Band 1] | Leibniz-Institut für Länderkunde e. V. | Fotografie | Leipzig
KIPTIG2TXFGBZQ7RRIL4V6DEOYJQAV5C | Mein größtes Krokodil bei Kor Atar [Reise nach dem Sudan, Band 2] | Leibniz-Institut für Länderkunde e. V. | Fotografie | Leipzig
JHKWMDFJK7Y5KNXBPKUVVVPXXB6MEH4Y | Mit scharfen Zähnen, Ausstellung Satire und Humor des Krokodil | Bundesarchiv |  | 
2AZSJ2DF7LLZCAIEJMU746GSEGC7WKSK | Wandzeitung mit Satirezeichnungen „Krokodil“ im Saal des Betriebes | Deutsche Fotothek; Sorbisches Institut - Serbski Institut / Sorbisches Kulturarchiv - Serbski kulturny archiw | Fotografie; Negativ | Bautzen
4Y6JZO4NOWAD4KP2UTSFVCAYRMOQZKF3 | 14. Kampf mit einem Löwen und einem Krokodil. | Universitätsbibliothek Bielefeld | Kapitel | 
MP3EFKMM45NZPMCHNVXMBT7SOBYZKL75 | Wandzeitung mit Satirezeichnungen „Krokodil“ im Saal des Betriebes | Deutsche Fotothek; Sorbisches Institut - Serbski Institut / Sorbisches Kulturarchiv - Serbski kulturny archiw | Fotografie; Negativ | Bautzen
OQ25R77N47GIN2EDK3VWOWW7KRAIIZDT | Wandzeitung mit Satirezeichnungen „Krokodil“ im Saal des Betriebes | Deutsche Fotothek; Sorbisches Institut - Serbski Institut / Sorbisches Kulturarchiv - Serbski kulturny archiw | Fotografie; Negativ | Bautzen
TYNXEVKRCDJN77N3T3CI4TC3K5B5S74N | Doppelschraubenbarkasse »Krokodil« der Elbstrombauverwaltung, Magdeburg: Schnitte 1:50 | Architekturmuseum der Technischen Universität Berlin; Technische Universität Berlin. Universitätsbibliothek; Technische Universität Berlin | Druck | Berlin
U2D2ORZGBQKMW5SEBDY3YQPZJY7UILE6 | Krokodil des Circus Althoff "spaziert" durch Berlins Strassen | Stiftung Deutsches Historisches Museum | Fotografie | Berlin Berlin (West); Berlin
U4CCCQYID62GYVICRXIAXSZEHINO3NYZ | Blumenbeet in Form eines Krokodils im Botanischen Garten. | Stadtarchiv Karlsruhe | Bild | 
XZDMBG6POSX3FBRW7FZI3O3I63POX4HR | 14. Kampf mit einem Löwen und einem Krokodil. | Universitätsbibliothek Bielefeld | Kapitel | 
E3H4JMCHERXUHE4OBWDTU4HV7F2R3RBZ | Zeitungsberichte vom Umbau der Nürnberger Gaststätte "Krokodil" im Anwesen Weintraubengasse 2-4 | Stadtarchiv Nürnberg | Archivale | Krokodil (Gaststätte); Weintraubengasse 2; Weintraubengasse 4
2SMTPWIUDAR3SCIAZPQMGXTK3RYWOULV | Reptilien : Schildkröten, Krokodile, Echsen, Schlangen | Deutsche Nationalbibliothek |  | Ravensburg; Frankfurt am Main
4KEXHIFGEOA3X2HNH5PMSOQNRCN45VFS | Die Krokodile und der Strandläufer | Deutsche Nationalbibliothek |  | Titisee-Neustadt; Frankfurt am Main
5O5VVCLVXK5VVMPFRYNOOTXOPBJB2YR4 | KROKODIL (L 750, Eidechse-Klasse) | Bundesarchiv |  | 
7BCVLUPEWLUQBDVGHDT7GNIMQHQH2742 | Von Tigern, Schlangen und Krokodilen | Deutsche Nationalbibliothek | Kindersachbuch; Sachbücher und Sachbilderbücher für Kinder und Jugendliche: Tiere, Pflanzen, Natur, Umwelt | München; Frankfurt am Main
BHHVXMXESKAE43AP4HAWSUUVGLIDBSNO | Reptilien : Schildkröten, Krokodile, Echsen, Schlangen | Deutsche Nationalbibliothek |  | Ravensburg; Frankfurt am Main
CIIE2MQZ5CXYYUFPAQ5SMMZCAHQW6NJD | Krokodile sind grau : fantastische Kurzgeschichten | Deutsche Nationalbibliothek | Erzählende Literatur; Fiktionale Darstellung | Pottenbrunn; Frankfurt am Main
COLHB56TVMHMYWKC6G7ZRNL5ULAFWRMP | Krankheiten der Krokodile : eine Literaturstudie | Deutsche Nationalbibliothek | Hochschulschrift | Frankfurt am Main
CZKV3677AFZP53I7L363DJWPHG2RX5KT | Das liebestolle Krokodil : eine Groteske | Deutsche Nationalbibliothek | Erzählende Literatur; Fiktionale Darstellung | Dettenhausen; Frankfurt am Main
ESBN4Z2WP6Y5RRGIYFWIZVF5V43CD3Z4 | Wie fange ich ein Krokodil | Deutsche Nationalbibliothek |  | [Frankfurt am Main]; Frankfurt am Main
GKUTE33KECJQM5TVGUT6JVICMVEUFI4F | Mulhouse (Frankreich): Zwei Krokodil-Modelle | Landesarchiv Baden-Württemberg | Bild | 
HWMM2JLSDOW4KAVBYKZSA5ZY2AJL43JX | Das Krokodil am grünen Fluss | Deutsche Nationalbibliothek | Kinderbuch | Australien; München; Frankfurt am Main
IGO6OGNJVDG2QYC4BVPRDWTWSR7EOBCM | Waldstraße 63, Gasthaus "Krokodil-Burghof" | Stadtarchiv Karlsruhe | Bild | 
KHCGBDSCCHJZYOVSZTCAAVJ67ME7R5JW | Das Krokodil in der Flasche | Deutsche Nationalbibliothek |  | Ravensburg; Frankfurt am Main
KPLH2W7KFH5MWUFCBB6BOJCOWQSPCZ4D | Der Krokodile Glanz und Ende | Münchner Stadtbibliothek / Monacensia im Hildebrandhaus - Literaturarchiv |  | 
L3OPY6XLTAFK4AG664ME7RSFY43M36S5 | Reptilien : Schildkröten, Krokodile, Echsen, Schlangen | Deutsche Nationalbibliothek |  | Ravensburg; Frankfurt am Main
L6N6LLJTOXI7WR2RIAXKFZPUGUCT4EEZ | Das lachende Krokodil : Russ. Satiren | Deutsche Nationalbibliothek |  | Düsseldorf; Frankfurt am Main
LB6J7XPFHY7EWZQSMWZWR7F2NDGUNB4W | Faszination Krokodil : Bilder einer Eisenbahnlegende | Deutsche Nationalbibliothek | Bildband | Zürich; Frankfurt am Main
LPOOWQXXCA2ECKE2JXGLFL5UA7GFSMM4 | Das deutsche Krokodil : meine Geschichte | Deutsche Nationalbibliothek | Autobiografie; Erlebnisbericht | Reinbek bei Hamburg; Frankfurt am Main
M6XOECCAC7MBQQBLVVVGM5ETFYNEXCCT | Reptilien : Schlangen, Krokodile und Echsen | Deutsche Nationalbibliothek | Kindersachbuch; Sachbücher und Sachbilderbücher für Kinder und Jugendliche: Tiere, Pflanzen, Natur, Umwelt | München; Frankfurt am Main
OTOYSM2XTM4FXXDSZD6V3LN5XNQ6WT5U | Ein Löffel für das Krokodil | Deutsche Nationalbibliothek |  | Wien; Wien, München; Frankfurt am Main
PMSA4B7YYARJFJYEY4XBKHCEAOYCN7YO | Ein Krokodil kennt keine Tränen | Deutsche Nationalbibliothek |  | Dierdorf, [Hanallee 19]; Frankfurt am Main
Q4ZB54DN2EAKRIWGC6QEI54F6JEBARIR | Tiger der ein Krokodil verschlingt | Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg; Philipps-Universität Marburg | Figur | Bayonne (Pyrénées-Atlantiques)
Q67YA2W27J2VQC5FRXZYQIEZ2NA2MIDS | Die Krokodile von Stanley Pool | Deutsche Nationalbibliothek |  | Frankfurt am Main; Leipzig
QAVYOY7AO72CWADCBVPZB24BPBW7FO6T | Das goldene Krokodil : E. Abenteuerroman | Deutsche Nationalbibliothek |  | Essen-Steele Ruhr; Frankfurt am Main
RCCX6LFDVTQO7RPBWL3DPZELLOBES4I5 | Krokodile haben keine Tränen : Gedichte | Deutsche Nationalbibliothek |  | Baden bei Wien; Frankfurt am Main
SIESRVC4CMY4PIOHKYFREUHNW6QZY436 | Ein Krokodil für Zagreb : Roman | Deutsche Nationalbibliothek | Erzählende Literatur; Fiktionale Darstellung | Hamburg; Frankfurt am Main
SRV7R6QSARQPHCQJG3ZS3W574ZB6ECB6 | Waldstraße 63, Gasthaus "Zum Krokodil" | Stadtarchiv Karlsruhe | Bild | 
VIXKJNJXZ3Y7U6ZCUQRW6C3SNU7DXHOI | Gott im goldenen Krokodil : Roman | Deutsche Nationalbibliothek | Fiktionale Darstellung; Historische Romane und Erzählungen | Flörsbachtal; Frankfurt am Main
VVHM2BYC3CR3WP3K7HRAQT2SK5QLOBK6 | Schill's Krokodil - Restaurationsbetriebe GmbH | Landesarchiv Berlin | Archivale | 
VYX2I7IPJKDK67ZBUL6SBNHJYMATYJS5 | Das Krokodil an der Ampel | Deutsche Nationalbibliothek |  | Berlin [West]; Frankfurt am Main
X2VU7JBSESDRGM4A6V4OZIBEW5P5OKCM | Wieviele Zehen hat das Krokodil? | Digitales Deutsches Frauenarchiv; FrauenMediaTurm - Feministisches Archiv und Bibliothek | Artikel | 
Z7A3KXMU33DUA627K5BUQLP55M7YNMMS | Das patentierte Krokodil : gesammelte Tiergeschichten | Deutsche Nationalbibliothek | Anthologie | Reinbek bei Hamburg; Frankfurt am Main
ZSGNXHN7YS3HUH2677JVFUSX7NHSGXXS | Krokodile im Wannsee : ein Jugendroman | Deutsche Nationalbibliothek | Jugendbuch | Frankfurt a.M.; Frankfurt am Main
ZTUBL7IAQCWCQ6FRB3FZGYMEOYA6VCVG | Waldstraße 63, Gasthaus "Zum Krokodil" | Stadtarchiv Karlsruhe | Bild | 
ZXZHLHRTPKZKQWQLHLOKYKDSUYNRADFZ | Das deutsche Krokodil : meine Geschichte | Deutsche Nationalbibliothek | Autobiografie; Autobiographie; Erlebnisbericht | Reinbek bei Hamburg; Frankfurt am Main
NRSMX6AFUZHUJUN2JB3ED5VJ7SJHVW7R | Ein Krokodil mit einer Kugel im Maul, 3. Register von oben | Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg; Philipps-Universität Marburg |  | Katholische Kirche Sankt Jakob (Kirche), Regensburg, Langhaus, Nordseite
Q5TGB7O5S7CA5JRIDKYHFFBZ3SGNPZND | Das Gespenst der Krokodile und Über das Küssen der Erde | Deutsche Nationalbibliothek |  | München; Frankfurt am Main
4O3UNPJXRG5L4J4VQCN2KO7I4AQK725D | Tiger, ein Krokodil zerfleischend, Blatt 16 der Folge "Annuaire des beaux-arts 1875" | Kunsthalle Bremen - Der Kunstverein in Bremen | Druckgrafik | Paris; Bremen
AXH324DKNQPOXX6Y7NAGCFNESPCV2JMC | Situationsriss der Braunkohlenmutung "Krokodil" bei Beutnitz (heute: Stara Bytnica) | Landesarchiv Sachsen-Anhalt | Karten und Pläne | 
H2L4FN4FP724Q2ATT4EQTX5C43MTU7AX | Sowjetische Satire-Zeitschrift "Krokodil" mit einer Titelkarikatur auf die Geringchätzung der Kolchosen durch die Deutschen | Stiftung Deutsches Historisches Museum | Zeitschrift | Moskau; Berlin
DORN6O7CPD35C7MKYBI77FPITSQ7MRRE | Das Krokodil im Baum : eine Ausstellung über Evolution and Biodiversität | Deutsche Nationalbibliothek | Ausstellungskatalog | Zürich; Frankfurt am Main
52ASCDQ4M3X73MZ3P2GSKY55Q6AMIXNJ | WHW-Abzeichen, Kasperleköpfe: Krokodil, Reichs-Straßensammlung vom Februar 1943 | Stiftung Deutsches Historisches Museum | Abzeichen | Berlin
