ROGZIU56S2X4F23FHFRYKRRGLXJPYNMA | [Krokodiljagd in Ägypten; Crocodile hunt in Egypt] | Herzog Anton Ulrich-Museum | Druckgraphik | Braunschweig
E55JIAHBYTCDL7IJHLBMT33KCIGFLVJW | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 147/148 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
JQP4MDNXZ246MCTYNOGQKRAEBP4MXOMT | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 145/146 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
KWZA2DOBIDWTNEBYRPG2SFF27IRYHDLB | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 159/160 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
L3IZQDDZ4OXFA6GUAGGSNB6NDNOITROM | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 153/154 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
PVJ62OVHQC2P2X6CAXYUIDVEV7VQZZRF | Lucius Verus (161-169 n. Chr.): Alexandria / Ägypten, 161-169 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
3QB4FW2LCBDIVSKM3B6GFIFKYOE46YHK | Göttin Toeris mit einem Krokodil | Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg; Philipps-Universität Marburg | Relief | Medînet Hâbu (Tempelbezirk), Theben (West), Deckenblock, Totentempel des Ramses 3. (Totentempel)
2CATTTTY4WXOJGUT456NAKDPZ7X2BVE7 | Marc Aurel (139/161-180 n. Chr.): Alexandria / Ägypten, 165/166 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
RLPUGT6LFQYLD7MG6WL2UG777AOXTEOV | Marc Aurel (139/161-180 n. Chr.): Alexandria / Ägypten, 171/172 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
U4V2U3CPW6YOCET2FQBRQIXT76E73QA2 | Marc Aurel (139/161-180 n. Chr.): Alexandria / Ägypten, 161-180 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
UGCBYCPD5IAO3Q7UYGZK3MK4SR4IJPA4 | Marc Aurel (139/161-180 n. Chr.): Alexandria / Ägypten, 162/163 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
VLIGROH65WZCH3FUTS7HKWAAINTZFGR4 | Marc Aurel (139/161-180 n. Chr.): Alexandria / Ägypten, 165/166 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
QCKHQHE2T6XFNGUQLRX5QUCU4BKR2VFR | Das geflügelte Krokodil. Codierung von Totenbuch-Vignetten | Deutsche Nationalbibliothek |  | Turin; Ägypten; Heidelberg; Frankfurt am Main
67W3KXAYLV243OQORMSHYPNOU6QG5GRF | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 147-148 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
EBNK4ESKYPX7JFVICDVKWJ4R6GPOGID4 | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 153/154 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
PMUOPOZHNIJ6ESHLEKX343YJCRBZ5VGM | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 160/161 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
QLWXWMO7V75YJIFXPFFQUJPB37Z7A6MB | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 153/154 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
R42H7MRLFSAZXTNDOX3HUJTTIKRR56N2 | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 140/141 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
ZAS5K2VRRNVMCOFYZMW3YDYREFRAEGCU | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 153/154 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
DORSNOVNLRHVT3XJU5RKJQ5OXZ56R442 | Hieroglyphen-Inschrift und heiliges Krokodil | Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg; Philipps-Universität Marburg | Relief | Doppelheiligtum des Sobek und des Haroeris (Tempel), Kūm Umbū, Säulensaal (Hypostyl)
7JFF2VZI2QAJNLYK3TOFB4SZY477HIOI | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 153/154 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
BUYENHHXJQHBUA4VFHY3MAFNRLSIEMN5 | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 141/142 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
DWBQEQZ5ZFICUGCQOW4VZAKCPTHB56SL | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 141/142 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
V636DVALGAVXU6MACBJLISUFCUEL5T63 | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 153/154 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
VWHPJL4JP3MHTAY6V6UDIDWLUOWCCJJ7 | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 153/154 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
6LEQ4AIICJOLZKAHATMQUHGASDL26GYA | Marc Aurel (139/161-180 n. Chr.): Alexandria / Ägypten, 165/166 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
PDH74TMLVVSL6N4PZTCNA6FYSCDO6SJB | Marc Aurel (139/161-180 n. Chr.): Alexandria / Ägypten, 165/166 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
OSANJVNZGXBDEXUEG55TSNSNIAWUXP3B | Caracalla (196/198-217 n. Chr.): Alexandria / Ägypten, 212/213 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
KUXHIQGVJHHCZOBVJBFKVOBCLRDRFDLM | Severus Alexander (221/222-235 n. Chr.): Alexandria / Ägypten, 230/231 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
NURCYLUFZAKUVFZU64FINB67KOWTEDRR | Severus Alexander (221/222-235 n. Chr.): Alexandria / Ägypten, 230/231 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
6HURTWNY53OFFXJWXXZ26X4TLCSW53AB | Marc Aurel (139/161-180 n. Chr.): Alexandria / Ägypten, 164/165 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
H3WNPDHZCABUAB3FWHNGL6ZZH4XXSH4S | Drei Frauen auf einem Krokodil | Leibniz-Institut für Länderkunde e. V. | Fotografie | Leipzig
VAXPQ2L53PDDP37XOCHF2WKPMHBAP7YD | Noch einige Bemerkungen über das Krokodil. | Martin-Luther-Universität Halle-Wittenberg, Universitäts- und Landesbibliothek Sachsen-Anhalt; Martin-Luther-Universität Halle Wittenberg | Abschnitt | 
JPD4TVM7MB5EOF4JT5DAYZLN4YTIOARP | "The snake, the crocodile and the cat": Die Griechen in Ägypten und die theriomorphen Götter des Landes | Deutsche Nationalbibliothek |  | Ägypten; Heidelberg; Frankfurt am Main
QTIRNNDMKRM4ERLAD2QVWG3442NDYKI4 | verziertes Straußenei | digiCULT-Verbund eG; Nordfriesland Museum. Nissenhaus | Straußenei (verziert) | Ägypten
GYZCTEQS4HJ3OCFOQ6HNCPXCD4ZJD2U7 | Marc Aurel (139/161-180 n. Chr.) Lucius Verus (161-169 n. Chr.): Alexandria / Ägypten, 167/168 n. Chr. | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
LHNWKEZJL56UU6UPFYU5HLC64UOE4NWM | Statuette eines Krokodils mit Falkenkopf | Ägyptisches Museum und Papyrussammlung; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz |  | Provenienz unbekannt; Berlin
7OT5GXSXKPM3TZEQEYS6RLHRSUWKVHGA | Statuette eines Krokodils, eine Mumie auf dem Rücken tragend | Ägyptisches Museum und Papyrussammlung; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz |  | Delta; Berlin
WYQCEYT2HPVIAQ2M53ZNQQKFAQUE4FWP | Krokodil, Schlange und Kuhantilope. Ein frühptolemäischer Holzsarg aus dem Grab des Anchhor (TT 414) | Deutsche Nationalbibliothek |  | Heidelberg; Frankfurt am Main
FR23LTFUZFT4UBHG3JYS7UHMVCK4ANJ4 | Messerset in Krokodilskopfköcher | digiCULT-Verbund eG; Nordfriesland Museum. Nissenhaus | Krummdolch | Ägypten
PAKHUFNRIOZHSSTBLWAQV37HLJHU5HXL | Krokodilmumie | Staatliche Kunstsammlungen Dresden. Skulpturensammlung; Staatliche Kunstsammlungen Dresden | Mumie | Arab Republic of Egypt; Dresden
CGRIRGNIKA7B3MP3H4KUM3F3NAU6KQBK | „Herrscher der Flüsse,... der die Räuberei liebt" - Das Nilkrokodil | Deutsche Nationalbibliothek |  | Ägypten; Heidelberg; Frankfurt am Main
6SLQYAMQP3LKH5UTE7WHHDNECDVD6EQA | Felsbild | Eberhard Karls Universität Tübingen, UB - Universitätsarchiv; Eberhard Karls Universität Tübingen | Bild | 
J4TO47ATU5H7LOWKNUKSIOOXBJHQJBZB | "Egypten 1891" (Kassette ). | Landesarchiv Baden-Württemberg | Bilder | Abu Simbel, Ägypten; Assuan, Ägypten; Bellab, Ägypten; Denderah, Ägypten; Edfu, Ägypten; Elefantine, Ägypten; Gizeh, Ägypten; Kairo [ET]; Karnak , Ägypten; Komombu, Ägypten; Luxor, Ägypten; Philae, Ägypten; Sakkarah, Ägypten; Suez-Kanal, Ägypten
4ZTWI3TW2QK44I637FZTH6DMOJ4RJGTA | Verbesserungsvorschläge zu den magischen Papyri British Museum EA 9997+10309 und EA 10042 (magischer Papyrus Harris) | Deutsche Nationalbibliothek |  | Ägypten; Heidelberg; Frankfurt am Main
4JF7PHPXNBN4W675D6H2GLA5D4GK4OJA | Lord de Rothschild's Egyptian soothing syrup. Feeding-time; a little treat all round | Ruprecht-Karls-Universität Heidelberg. Universitätsbibliothek; Ruprecht-Karls-Universität Heidelberg | Grafik | London; Heidelberg
63HDIJ5BKDTR4FTWNNURFQNPOXETD3G2 | The matrimonial market | Ruprecht-Karls-Universität Heidelberg. Universitätsbibliothek; Ruprecht-Karls-Universität Heidelberg | Grafik | London; Heidelberg
ZFCHRQ77Q4AO6PI5II2NVKBHOBTO7QBR | Croquis, - par Pif | Ruprecht-Karls-Universität Heidelberg. Universitätsbibliothek; Ruprecht-Karls-Universität Heidelberg | Grafik | Paris; Heidelberg
ELAW7H23K3E5H7KAZH6ZO54VVR5NQCGL | Isis als Herme mit Krokodilshänden (Daktyliothek, Das Alterthum nach Lippert und Visconti) | Staatliche Kunstsammlungen Dresden. Skulpturensammlung; Staatliche Kunstsammlungen Dresden | Abdruck | Dresden
OYLNR3L3AQYQJEWV2B6G53HWNYYKMYKV | Actualités | Ruprecht-Karls-Universität Heidelberg. Universitätsbibliothek; Ruprecht-Karls-Universität Heidelberg | Grafik | Paris; Heidelberg
MGQX7AMFKUT4GWO4JMHZFYMXZD6E3HVV | Ferdinand de Lesseps, par Gill | Ruprecht-Karls-Universität Heidelberg. Universitätsbibliothek; Ruprecht-Karls-Universität Heidelberg | Grafik | Paris; Universitätsbibliothek Johann Christian Senckenberg
BMFISWNSQGIJM4A2H3XTJYAGXX6BUXTZ | As des Augustus, so genannter Nemausus-As | Museum August Kestner | Münze | Gallien; Ägypten; Nîmes; Hannover
RAF54V4SANMQE5JPI4Y2HAYLMC6SYDUB | "Hold on!" | Ruprecht-Karls-Universität Heidelberg. Universitätsbibliothek; Ruprecht-Karls-Universität Heidelberg | Grafik | London; Heidelberg
GJ6ZURFQEGEFECJZLSK7ENESR3V7RWJN | Devil and God: the crocodile in Kush | Deutsche Nationalbibliothek |  | Heidelberg; Frankfurt am Main
4UOJWPPVP2MQW2FHXDHHYNB5S4ZXDD6T | Getting a lift! | Ruprecht-Karls-Universität Heidelberg. Universitätsbibliothek; Ruprecht-Karls-Universität Heidelberg | Grafik | London; Heidelberg
6HIOCOUAUDOZJYY5GJERUP7BTKFLR3OV | Punch's essence of parliament | Ruprecht-Karls-Universität Heidelberg. Universitätsbibliothek; Ruprecht-Karls-Universität Heidelberg | Grafik | London; Heidelberg
COB2KDAXTU4JNOPGI4E2A226XPP2NW6D | Zwei Krokodilsmumien | Museum August Kestner | Mumie | Fayoum; Ägypten; Hannover
3TFCMW426GTCYBELITONHVTXGCJVFWUA | The confused crocodile | Ruprecht-Karls-Universität Heidelberg. Universitätsbibliothek; Ruprecht-Karls-Universität Heidelberg | Grafik | London; Heidelberg
F5PWCBKEP5CKA2QWVXDAJR2JJAEDKUCB | Actualités | Ruprecht-Karls-Universität Heidelberg. Universitätsbibliothek; Ruprecht-Karls-Universität Heidelberg | Grafik | Paris; Heidelberg
PLJPRGFYLAA5I3W3N6KFQXZQE7D64WHS | Krokodiljagd | Deutsche Fotothek; Herzog August Bibliothek Wolfenbüttel | Druckgrafik | Wolfenbüttel
PDWRVP2V5AN5YM63RMVPMEHIBBPVLNQS | Relief and reaction | Ruprecht-Karls-Universität Heidelberg. Universitätsbibliothek; Ruprecht-Karls-Universität Heidelberg | Grafik | London; Heidelberg
WFM2YPEJ6ONOWXXHCWCMXRS6CYDO5RDT | Münze, Denar, 29 v. Chr. - 27 v. Chr. | KENOM - Virtuelles Münzkabinett; Staatliche Münzsammlung München | Münze | Brindisi; Italien; Rom
H2R6FW46634DJRTSWXS27KOVYASUWJDJ | "Modebild" "Sächsisch-Deutsch" "Die gute alte Zeit" | Ruprecht-Karls-Universität Heidelberg. Universitätsbibliothek; Ruprecht-Karls-Universität Heidelberg | Grafik | München; Heidelberg
PXA72YB64SISNYQZQ5MICYIPNDWZJY55 | Münze, Drachme, 98 | KENOM - Virtuelles Münzkabinett; Universität Leipzig. Universitätsbibliothek Leipzig; Universität Leipzig | Münze | Alexandria; Ägypten; Ägypten (Altertum)
K6UFJPODQEEEN7QL5S22NY5LBZGCIASC | "Wanderlust" | Ruprecht-Karls-Universität Heidelberg. Universitätsbibliothek; Ruprecht-Karls-Universität Heidelberg | Grafik | München; Heidelberg
JXWHASE74R75GHIFPWCPBBNRNEMTAYM6 | Münze, Drachme, 132 - 133 | KENOM - Virtuelles Münzkabinett; Universität Leipzig. Universitätsbibliothek Leipzig; Universität Leipzig | Münze | Alexandria; Ägypten; Ägypten (Altertum)
Z3RC6TNQDWMMNAOJQSDUGQHMBRHOQRB3 | Münze, 1/2 Drachme (Hemidrachme), 135 - 136 | KENOM - Virtuelles Münzkabinett; Universität Leipzig. Universitätsbibliothek Leipzig; Universität Leipzig | Münze | Alexandria; Ägypten; Ägypten (Altertum)
ZAPUP6WJTZ6LYYTEDJIRHHYOQMAY7ZSK | The wolf in sheep's clothing | Ruprecht-Karls-Universität Heidelberg. Universitätsbibliothek; Ruprecht-Karls-Universität Heidelberg | Grafik | London; Heidelberg
NZWYXTNN7S57TIBQMMJMNRIOYFEMF5US | Der Nil. | Deutsche Fotothek; Herzog August Bibliothek Wolfenbüttel | Druckgrafik | Wolfenbüttel
TMR6CVSAT4TZZM4QLYM5BKFR34QQZLAA | Lampe | Skulpturensammlung und Museum für Byzantinische Kunst; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Lampe | Ägypten; Berlin
DNGTV3ZXI5YQMRAKUCP2PBIK6WUAY37S | The St. Stephens show | Ruprecht-Karls-Universität Heidelberg. Universitätsbibliothek; Ruprecht-Karls-Universität Heidelberg | Grafik | London; Heidelberg
K2NU72W3SOUKVYRUPQHRXEAAATZGS5C2 | Topographische Kontinentalkarte Afrikas (in lateinischer Sprache) | Stiftung Deutsches Historisches Museum | Landkarte | Amsterdam; Berlin
3PO5NT3EIOUP4HHK3BAENV2XTPZZLJGS | Opfertafel (Fälschung) | Stiftung Fürst-Pückler-Museum Park und Schloss Branitz |  | Ägypten; Cottbus
RT33LQ6JMGEBOR2SI4TZHF7BDN4W5OZH | Spitzmaussarg | Badisches Landesmuseum Karlsruhe |  | Ägypten; Karlsruhe
I3DRKO6ESUOFWH5WPNNGNUXCTKMZ27HG | Alexandria: Augustus | Münzkabinett; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Münze | Alexandria; Ägypten; Berlin
ZR2TZ3V5ZBO4LHBYXV6F5GZAGKMHMAZK | Alexandria: Augustus | Münzkabinett; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Münze | Alexandria; Ägypten; Berlin
4S3TAVGINXDXJKGOKPUV7ITALVRAVAF2 | Stele der Isis-Thermuthis | Ägyptisches Museum und Papyrussammlung; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz |  | Fayum; Berlin
AQXUUWAEYJK5JQVYXH4DSPJYXX2EO6YN | Röm. Republik: C. Iulius Caesar (Octavianus) | Münzkabinett; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Münze | Asia; Pergamon?; Türkei; Berlin
T2DO6VBJWXOPXFYIPIAIJSVVZJVK2BSF | Röm. Republik: C. Iulius Caesar (Octavianus) | Münzkabinett; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Münze | Asia; Pergamon?; Türkei; Berlin
2WH4COFXC2PLC5WDUAOKEXAGNFJYECLF | Patäke | Badisches Landesmuseum Karlsruhe | Statuette | Ägypten; Karlsruhe
FIGUZRFACPEB7JCLHSTE5HK6WAR6ZRFD | Steuerquittung für Opferkalb | Ägyptisches Museum und Papyrussammlung; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz |  | Fayum; Berlin
OPNROM7ZYIZYTHSTL5JRU3NADXHRNXTB | Nordwand: Jagdszenen, Viehzucht und Ackerbau | Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg; Philipps-Universität Marburg | Relief | Mastaba des Ti (D 22) (Mastaba), Saqqāra, Opferraum (Grabkapelle)
LJCKGETGAMWJ6CBB4PHADRFTY4M76ESV | Johann Hoff und Johann Hoff : Aegyptische Burleske mit antiken Couplets in 1 Akt ; nebst einem Nachspiele: Die Wunder des Malz-Extractes, in 11 lebenden Bildern mit verbindendem Couplet-Texte | Bayerische Staatsbibliothek |  | Berlin; München
QBJNU4OPJ5S52MTRDSZUFWT2Z4A6UBNI | Hadrianus | Münzkabinett; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Münze | Italia; Italien; Rom; Berlin
KJTSUDKF27GOXRQKVYXSSJL65LWJBC3P | Statuette der Göttin Thoeris | Ägyptisches Museum und Papyrussammlung; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz |  | O 49.01 (Großgehöft); Berlin
ASSHZ2WPOZPP63JXM6A5J4HBFC2Z2VE7 | Augustus | Münzkabinett; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Münze | Frankreich; Gallia; Nîmes; Berlin
DEN4PZWSZMMYOBYHJMOX25X6PN72A3QS | Pidgeon, G. F.: Generalleutnant Ralph Abercromby | Münzkabinett; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Medaille | Birmingham; England; Großbritannien; Berlin
JU33BYE7BU573IJK7IR6XARUNONPSKNP | Alexandria: Hadrianus | Münzkabinett; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Münze | Alexandria; Ägypten; Berlin
OXWVPYAADOE37YSEYP3XU273P4RMOSP4 | Medaille auf die Eroberung Oberägyptens 1799 | Landesmuseum Württemberg | Medaille | Ägypten; Stuttgart
QYDWPA52PSOLSBG7HDUMI3TJZAZUBZ3F | Alexandria: Elagabalus | Münzkabinett; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Münze | Alexandria; Ägypten; Berlin
II3UENQJYLHLAOR5VSOHMKRLQWO3UZHD | Augustus | Münzkabinett; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Münze | Frankreich; Gallia; Nîmes; Berlin
2WHWZ7ZCJWRWXRKF76XVSYAOVWH3JUKT | Alexandria: Hadrianus | Münzkabinett; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Münze | Alexandria; Ägypten; Berlin
CHDIZ63D3RMEYU5UKTUO3U7JWY73YJHN | Römische Münze, Nominal Bronzemünze, Prägeherr Traian, Prägeort Alexandria, Original | Stadtmuseum Bad Dürkheim im Kulturzentrum Haus Catoir | Münze | Alexandria; Bad Dürkheim
FVDFURCTJOTEBTVCHVTWVNAVXJBJWWUW | Alexandria: Severus Alexander | Münzkabinett; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Münze | Alexandria; Ägypten; Berlin
QNCIHHEK5CYF4EVHZVY33MK6Y2XEUOUB | Zeichnungen für Amulette | Ägyptisches Museum und Papyrussammlung; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz |  | Berlin
5IZM3J43UVMH3NJIUOZIXP5REBZKI7T5 | Augustus | Münzkabinett; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Münze | Frankreich; Gallia; Nîmes; Berlin
AYFJ32QP2HEVTFDOCT3PMGBXZS5CL4II | Augustus | Münzkabinett; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Münze | Frankreich; Gallia; Nîmes; Berlin
DITVRN3IKQIGK7ZOK77V5UQIGPMCMBEF | Augustus | Münzkabinett; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Münze | Frankreich; Gallia; Nîmes; Berlin
IDMFNUVH2ZFIUI6FT23VQYQGFEYBMEIF | Augustus | Münzkabinett; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Münze | Frankreich; Gallia; Nîmes; Berlin
MXJO2HJE7UVQK3USFG3FZW6P33433MVK | Augustus | Münzkabinett; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Münze | Frankreich; Gallia; Nîmes; Berlin
NMLOBUYT3W452JK2VEFLO4D25COS6YTA | Augustus | Münzkabinett; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Münze | Frankreich; Gallia; Nîmes; Berlin
T6T6COPI6MFSKNKH3RSYXDUEBH6BZUOG | Augustus | Münzkabinett; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Münze | Frankreich; Gallia; Nîmes; Berlin
6FMX5K3JT2VIGBEW3PFSH627J4XCNCH4 | Augustus | Münzkabinett; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Münze | Frankreich; Gallia; Nîmes; Berlin
7JBZWREEMDY772F2KJ6WYT4NOPOYVSW2 | Augustus | Münzkabinett; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Münze | Frankreich; Gallia; Nîmes; Berlin
CJEOEUT4X6ULLBQY4D6LXPKDB77WPHIZ | Augustus | Münzkabinett; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Münze | Frankreich; Gallia; Nîmes; Berlin
GT3Q52JAT76CU42J7N2SKBI2JDYBFG7Q | Augustus | Münzkabinett; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Münze | Frankreich; Gallia; Nîmes; Berlin
LH4SIC6TR3N33NXYE5LGCT47ZLN3NEYD | Augustus | Münzkabinett; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Münze | Frankreich; Gallia; Nîmes; Berlin
R2JDWZKVTII26U4NJ3YFF7PVCL6NCN26 | Augustus | Münzkabinett; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Münze | Frankreich; Gallia; Nîmes; Berlin
W6WBX7V2VHNQBRINWOWN4GKAU2LR53KQ | Augustus | Münzkabinett; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Münze | Frankreich; Gallia; Nîmes; Berlin
CEWWCSHXXM2HY45C77FAPOEGOMKX566A | Tafelbild aus gebranntem Ton mit der Büste des Helios-Suchos | Ägyptisches Museum und Papyrussammlung; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz |  | Fayum; Berlin
QHSMLOGK77HIBZS3USG3BB2VF5JSDKUR | Augustus | Münzkabinett; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Münze | Frankreich; Gallia; Nîmes; Berlin
XN3LAYYYBQR2TX45IO5SEYZDKTID4NUY | Caracalla | Münzkabinett; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Münze | Italia; Italien; Karnak; Rom; Ägypten; Berlin
FVJNJUCSTDPKYFVWRKGDJJKB3R7KXHIO | Augustus | Münzkabinett; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Münze | Frankreich; Gallia; Nîmes; Berlin
Z5CS3BZCM36EFJG4HXXHFP4OM6XHA3V3 | L'Ystoire du Roi Alexandre (Alexander-Roman) | Kupferstichkabinett; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Handschrift | Flandern; Berlin
