date,country,language,database_or_search_engine,query,institution_checked,result,notes,x_agent
2026-09-24,HU,hu,WebFetch,mult-kor.hu 'Mi van a krokodilmúmia belsejében' (2015),UNKNOWN,Article is about a British Museum crocodile mummy (out of region); no Hungarian holding,UNKNOWN,central_east_europe
2026-09-24,UNKNOWN,hu,WebSearch,site:szepmuveszeti.hu krokodil múmia,UNKNOWN,"NOT PERFORMED: session-wide WebSearch budget exhausted (200/200). All subsequent discovery via direct institutional databases/APIs, portals, bibliographic APIs and WebFetch of known URLs only.",UNKNOWN,central_east_europe
2026-09-24,UNKNOWN,en,OpenAlex API,crocodile mummy Budapest; crocodile mummies Poland museum; mumia krokodyla; animal mummies Kraków; ... (9 queries),UNKNOWN,HTTP 429: OpenAlex free daily budget exhausted for this IP; no results,UNKNOWN,central_east_europe
2026-09-24,UNKNOWN,en,Crossref API (query.bibliographic),crocodile mummy Budapest Museum of Fine Arts; animal mummies National Museum Warsaw; animal mummies Kraków Archaeological Museum; crocodile mummy Hermitage (others failed JSON),UNKNOWN,"Relevant: Gorzelany-Nowak & Wilczyński 2023 (MNK animal mummies, 10.12797/saac.27.2023.27.06); Ejsmond & Przewłocki 2014 (MNW cat mummies); Szvák et al. 2023 (Semmelweis Museum mummy findings); Diker & Ulaş 2019 (Topkapı Palace crocodile 'mummy', 10.16947/fsmia.582351); Čavka & Uranić 2014 (Zagreb human mummies CT)",UNKNOWN,central_east_europe
2026-09-24,PL,en,journals.akademicka.pl PDF,Gorzelany-Nowak & Wilczyński 2023 SAAC 27: 127-141,Muzeum Narodowe w Krakowie / Muzeum Książąt Czartoryskich,"Four animal mummies only: cat MNK XI-412, falcon/harrier MNK XI-487, ichneumon imitation MNK XI-1499, kestrel MNK XI-a-850; no crocodile",UNKNOWN,central_east_europe
2026-09-24,PL,pl,WebFetch zamek-lublin.pl,/magia-starozytnego-egiptu/mumie-zwierzece/ and exhibition pages,Muzeum Narodowe w Lublinie,"Official exhibition text: 'Drugi zabytek to mumia małego krokodyla' / 'Na wystawie jest mumia małego krokodyla'; no inv. no., lender not stated",UNKNOWN,central_east_europe
2026-09-24,PL,pl,Muzeum Narodowe w Lublinie online catalogue (zamek-lublin.pl/wyniki-wyszukiwania),artifactName=mumia; artifactName=krokodyl; keyWords=' mumie'; creationPlaces='Egipt (Afryka)',UNKNOWN,"mumia 0; krokodyl 0; keyword mumie 1 (illustration for Prus' 'Faraon'); Egipt 10 (modern gong, napkin rings); ancient Egyptian objects not in online catalogue",UNKNOWN,central_east_europe
2026-09-24,PL,pl,WebFetch poznan.naszemiasto.pl (news 27 Feb 2015),Muzeum Narodowe: Krokodyl w muzeum! Skarby starożytności w Poznaniu,Muzeum Narodowe w Poznaniu,"News: MNP holds 'mumię głowy krokodyla sprzed ponad 2,5 tysiąca lat' in Gallery of Ancient Art (Egypt section) - candidate only",UNKNOWN,central_east_europe
2026-09-24,PL,pl,mnp.art.pl WordPress REST search (/wp-json/wp/v2/search) + ?s=,krokodyl; mumia; mumie zwierz; Sobek; Egipt,Muzeum Narodowe w Poznaniu,0 relevant hits (Egipt only returns events); no online collection DB found; zbiory.mnp.art.pl proxy 502,UNKNOWN,central_east_europe
2026-09-24,PL,pl,cyfrowe.mnw.art.pl,katalog?search=krokodyl,Muzeum Narodowe w Warszawie,JS app shell only (3.4 kB); API not identified before wrap-up - NOT SEARCHED,UNKNOWN,central_east_europe
2026-09-24,RU,ru,goskatalog.ru (portal + muzfo-rest API),мумия крокодила,UNKNOWN,Connection reset / tunnel closed (unreachable from this environment),UNKNOWN,central_east_europe
2026-09-24,RU,ru,hermitagemuseum.org,site access test,UNKNOWN,connection failed (000) - not searched,UNKNOWN,central_east_europe
2026-09-24,RU,ru,Pushkin Museum collection API (collection.pushkinmuseum.art/api/search-entities/OBJECT),крокодил; мумия крокодила; мумия животного; мумия; Себек; крокодила,Pushkin State Museum of Fine Arts,"крокодил 7 (Sobek statuette 138303, vessels, Barye sculpture); мумия 34 (cat mummy 142022, 3 human mummies, masks, canopics); мумия крокодила 0; Себек 4; no crocodile mummy online",script scripts/pushkin_search.py,central_east_europe
2026-09-24,JP,ja,Japan Search API (jpsearch.go.jp/api/item/search/jps-cross),ワニ ミイラ,UNKNOWN,109 hits; 1 relevant: ColBase cobas-152082 '鰐木乃伊' Tokyo National Museum TJ-2390 (Egypt); rest are books/journals/unrelated,UNKNOWN,east_asia
2026-09-24,JP,ja,Japan Search API item,item cobas-152082,Tokyo National Museum,"record: 鰐木乃伊, TJ-2390, 東洋考古, 1個, エジプト, 熊生栄氏寄贈, owner 東京国立博物館; no image",UNKNOWN,east_asia
2026-09-24,JP,ja,ColBase web API (colbase.nich.go.jp/colbaseapi/v2),free_word=鰐,Tokyo National Museum; Kyoto/Nara/Kyushu National Museums,"67 hits; 1 crocodile mummy TNM TJ-2390 '鰐木乃伊'; TJ-1887 '鰐' (東洋考古, no data, nature unknown); rest 鰐口 gongs, Oceanic wooden crocodiles",UNKNOWN,east_asia
2026-09-24,JP,ja,ColBase web API,free_word=木乃伊,Tokyo National Museum,"5 hits: TJ-2390 鰐木乃伊; TJ-2415 木乃伊首 (human head); TJ-1950, TJ-1932 (figurine, pectoral); QB-11119 book",UNKNOWN,east_asia
2026-09-24,JP,ja,ColBase web API,free_word=ミイラ,Tokyo National Museum,"9 hits: human mummy TJ-1835 (Pashenienptah), mummy linen etc.; no crocodile",UNKNOWN,east_asia
2026-09-24,JP,ja,ColBase web API,free_word=エジプト / 動物 / セベク / 鰐魚 / クロコダイル,ColBase national museums,"エジプト 359 hits (TNM Egyptian items; ibis figure TJ-4832 etc.), no additional crocodile mummy; 動物 491 hits none relevant; セベク/クロコダイル/鰐魚 no crocodile mummy",UNKNOWN,east_asia
2026-09-24,JP,ja,TNM 画像検索 (webarchives.tnm.jp/imgsearch/search),鰐; 鰐木乃伊; TJ-2390; ワニ; TJ-1887,Tokyo National Museum,"鰐: 7 hits (gongs, Papua crocodile TK-2804); others 0 hits; no photo of TJ-2390 online",UNKNOWN,east_asia
2026-09-24,JP,ja,WebSearch,"""鰐木乃伊"" 東京国立博物館",UNKNOWN,no direct hit for crocodile mummy; TNM image-search page of human mummy C0037390 (TJ-1835),UNKNOWN,east_asia
2026-09-24,JP,ja,CiNii Research OpenSearch,ワニ ミイラ; 鰐 ミイラ; クロコダイル ミイラ; 動物ミイラ,UNKNOWN,"ワニ ミイラ 5 hits incl. KAKEN 62043089 Akoris project (crocodile mummies excavated at Akoris, 14C of linen 1560±90 BP); 鰐 ミイラ 2 irrelevant; クロコダイル ミイラ 0; 動物ミイラ 3 (Kitagawa/Gakuhari KAKEN; Shimizu 2021 西アジア考古学22)",UNKNOWN,east_asia
2026-09-24,JP,ja/en,CiNii Research OpenSearch,ワニ エジプト; 鰐 エジプト; セベク; ソベク; アコリス ワニ; crocodile mummy; crocodile mummies; crocodile Egypt Sobek; animal mummies Egypt; 動物ミイラ エジプト; ミイラ CT 動物,UNKNOWN,key hits: Shimizu M. 2026 Orient 61:109-125 'Horizontal Niches for Crocodile Mummies in Akoris'; 'Crocodile worship in Middle Egypt: cultic niches for the crocodile mummies in local temples' Preliminary Report Akoris 2020:16-22; Molcho 2014 JEA; Hekkala 2011; no Japanese-held crocodile mummy mentioned,UNKNOWN,east_asia
2026-09-24,JP,ja,CiNii Research OpenSearch,日本 所蔵 ミイラ; 坂上 和弘 ミイラ; エジプト ミイラ 所蔵 日本; エジプト 動物 ミイラ; ミイラ エックス線; ネコ ミイラ; トキ ミイラ,UNKNOWN,"KAKEN 19K06869 (Sakaue: survey of mummies in Japan, 64 human specimens; published Bull. NMNS Ser. D 48); 'エジプト学研究 26: 2019年度北サッカラにおける動物遺存体とミイラに関する調査概報'; KAKEN 22KK0008 (Tuna el-Gebel, Gebel Asyut, Kom el-Loli animal necropoleis)",UNKNOWN,east_asia
2026-09-24,JP,en,kahaku.go.jp PDF,Sakaue K. 2022 Inventory of the human mummy specimens stored in Japan (Bull. NMNS Ser. D 48),UNKNOWN,"human mummies only; lists Egyptian human mummies at Univ. of Tokyo (3), Tokyo National Museum (1), Gunma Museum of Natural History (Nos.1-6, Morimoto et al. 1998), Kyoto University (at least 3) — candidate institutions for animal mummies; no animal mummies covered",UNKNOWN,east_asia
2026-09-24,JP,ja,WebSearch,"ワニのミイラ 古代エジプト 所蔵 博物館 日本; ""ワニのミイラ"" 展示 博物館; ""鰐のミイラ"" エジプト 所蔵; ""ワニのミイラ"" 大学 所蔵 古代エジプト コレクション",UNKNOWN,"no Japanese holding found; exhibition pages: Leiden RMO touring exhibition 2021-23 (Bunkamura) shows 'ワニのミイラ ローマ時代' lent by RMO; Brooklyn exhibition 2025 (Mori Arts Center) mentions only human and cat mummies; Kahaku 2019 特別展ミイラ, 2021 大英博物館ミイラ展, 2025-26 企画展「ワニ」 (no mummy mentioned)",UNKNOWN,east_asia
2026-09-24,JP,ja,WebFetch kahaku.go.jp,https://www.kahaku.go.jp/event/nid00001559.html (企画展ワニ); /exhibitions/ueno/special/2019/miira/; /event/nid00002037.html,National Museum of Nature and Science,no mention of crocodile mummy or animal mummy on these pages,UNKNOWN,east_asia
2026-09-24,JP,ja,WebSearch site:aom-tokyo.com,ワニ; ミイラ 動物,Ancient Orient Museum,no crocodile mummy; only Carajá clay crocodile figure (Amazon gallery talk) and Akoris human-mummy CT close-up exhibition 2022 (panels only),UNKNOWN,east_asia
2026-09-24,JP,ja,curl bunkamura.co.jp,https://www.bunkamura.co.jp/museum/exhibition/21_leidenegypt/chapters.html,Rijksmuseum van Oudheden (lender),chapter 'latest research' lists ワニのミイラ ローマ時代（前30-後395年頃） among CT-scanned exhibits; no inventory number on page; leidenegypt.jp blocked (502 proxy),UNKNOWN,east_asia
2026-09-24,JP,ja,CiNii Research,ライデン国立古代博物館所蔵 古代エジプト展; ブルックリン博物館所蔵 特別展 古代エジプト; 大英博物館 古代エジプト展,UNKNOWN,"catalogues: 古代エジプト展 ライデン国立古代博物館所蔵 (2020); 古代エジプト ブルックリン博物館所蔵特別展 (2025); BM exhibitions 1999, 2006, 2012 — print only, not accessible",UNKNOWN,east_asia
2026-09-24,JP,ja,WebSearch,東海大学 古代エジプト コレクション 動物ミイラ ワニ,Tokai University,found official collection DB egypt.civilization.u-tokai.ac.jp; no crocodile mummy in results,UNKNOWN,east_asia
2026-09-24,JP,ja,Tokai University AENET collection DB (egypt.civilization.u-tokai.ac.jp/collection/?s=),ワニ; ミイラ; 鰐; 動物; セベク; material=有機物 (organic-remains) listing,Tokai University (Suzuki collection),"ワニ 0; 鰐 0; セベク 0; ミイラ 9 (amulets, canopic lid, papyrus etc., no mummies); 動物 27 (figurines etc.); organic-remains list ~45 items (sandals, baskets, bows, ichneumon figure) — no animal mummies",UNKNOWN,east_asia
2026-09-24,JP,ja,WebSearch + WebFetch,京都大学総合博物館 エジプト ワニ ミイラ; https://www.museum.kyoto-u.ac.jp/special/content0024/,Kyoto University Museum,2011 exhibition 埃及考古 mentions only bird mummies (鳥のミイラ) under study; no crocodile,UNKNOWN,east_asia
2026-09-24,JP,ja,CiNii Research,埃及考古; 京都大学 エジプト 資料 目録; Egyptian antiquities Kyoto University; 東京大学総合研究博物館 エジプト; 天理参考館 エジプト; 岡山市立オリエント美術館 エジプト; 中近東文化センター エジプト 所蔵; 群馬県立自然史博物館 ミイラ,UNKNOWN,"catalogues found: 京都大学総合博物館考古学資料目録 エジプト出土資料 (2016); 埃及考古 図録 (2011); 天理参考館所蔵古代エジプト遺物コレクション (Suzuki M.); Okayama Orient Museum exhibitions ミイラと神々 (2019), 古代エジプト・ふしぎ発見! (2025); Gunma MNH Egyptian mummy papers (Morimoto et al. 1998; Kondo et al. 1998; Matsuura et al. 2000) — none mention crocodiles in title",UNKNOWN,east_asia
2026-09-24,JP,ja,curl city.shimonoseki.lg.jp,https://www.city.shimonoseki.lg.jp/site/art/132906.html (古代エジプト・ふしぎ発見! 2025),UNKNOWN,"lenders: MIHO MUSEUM, Tokai Univ., Shimonoseki City Art Museum (Kawamura coll.), TNM, Takahashi City Nariwa Museum (Kojima coll.), Waseda Aizu Museum, Okayama Orient Museum, Waseda Archaeological Museum; no ワニ/crocodile mentioned",UNKNOWN,east_asia
2026-09-24,JP,ja,WebSearch,成羽美術館 児島コレクション エジプト ミイラ 動物; 岡山市立オリエント美術館 ワニ ミイラ; 古代エジプト美術館 渋谷 ワニのミイラ マスク,UNKNOWN,"found touring exhibition 古代エジプト美術館展 (Higashihiroshima, Iwaki, Niigata, Akita) with PDF checklists; no Nariwa/Okayama crocodile",UNKNOWN,east_asia
2026-09-24,JP,ja,"PDF checklists (hhmoa.jp, city.iwaki.lg.jp, banbi.pref.niigata.lg.jp, akita-kinbi.jp)",grep ワニ/鰐/crocodile in 古代エジプト美術館展 出品目録,"The Ancient Egyptian Museum, Shibuya","no. 63 ワニのミイラの頭に被せたマスク / Mask for head of mummified crocodile, Ptolemaic, painted plaster, H17.0×W27.0×D38.0; also no. 12 Horus-on-crocodiles stela, no. 181 BD papyrus with crocodiles; 'all exhibits owned by 古代エジプト美術館渋谷'",UNKNOWN,east_asia
2026-09-24,JP,ja,curl egyptian.jp,outline.html; collection.html; exhibition_list.html,"The Ancient Egyptian Museum, Shibuya","official outline (>1000 objects, Kikugawa collection); no online object list; no crocodile mention",UNKNOWN,east_asia
2026-09-24,JP,ja,WebSearch,東京大学総合研究博物館 エジプト 動物ミイラ ワニ; 群馬県立自然史博物館 エジプト ミイラ ワニ 標本; MIHO MUSEUM エジプト ワニ ミイラ,UNKNOWN,"NOT PERFORMED — session-wide WebSearch budget (200 calls) exhausted; from here on only institutional DBs/APIs (Japan Search, ColBase, CiNii, J-STAGE, NDL, GBIF, museum sites via curl/WebFetch) were used",UNKNOWN,east_asia
2026-09-24,JP,ja/en,Kyoto University Research Resource Archive (keep.rra.museum.kyoto-u.ac.jp ArchivesSpace) photo archive TKUM PIC 2020/2 (947 records),crocodile; mummy; animal; Kom; Hawara; Fayum; Tebtunis; Gebelein; Sobek; bird,Kyoto University Museum,"records are photo file names (site+no.+catalogue page) only; Fayum 2 hits (Fayum010, cat. p.12-13), animal 11 hits (Oxyrhynchus008 p.14); other queries redirect-loop/0; no crocodile identifiable",UNKNOWN,east_asia
2026-09-24,JP,ja,J-STAGE WebAPI (api.jstage.jst.go.jp service=3),ワニ ミイラ; 鰐 ミイラ; crocodile mummy; 動物ミイラ; セベク; ワニ 神殿 エジプト; Sobek; crocodile Akoris,UNKNOWN,only relevant: Shimizu 2026 Orient 61 'Horizontal Niches for Crocodile Mummies in Akoris' (PDF read); 'Egyptian Birds Mummies' Jpn J Ornithol 1928; others irrelevant,UNKNOWN,east_asia
2026-09-24,JP,en,GBIF occurrence API,"taxonKey=11493978 (Crocodylia) publishingCountry=JP/CN/TW/KR/SG/MY/TH/PH/ID/VN/HK/MN, basisOfRecord=PRESERVED_SPECIMEN; filter Egypt/mummy/ミイラ",UNKNOWN,"JP 406 (NSMT, KPM, OMNH...) none Egyptian or mummy; TW 9 (TMRC, modern); KR 3 (NIBR); others 0",UNKNOWN,east_asia
2026-09-24,JP,ja,Japan Search API,ワニ エジプト; 鰐 エジプト; ワニ 古代; Egypt crocodile; エジプト 動物 ミイラ; トキ ミイラ; ネコ ミイラ; ハヤブサ ミイラ; 鰐木乃伊; 鰐のミイラ,UNKNOWN,no new crocodile mummy beyond TNM TJ-2390; TNM ibis figure TJ-5881; NDL books only,UNKNOWN,east_asia
2026-09-24,JP,ja,NDL Lab full-text search API (lab.ndl.go.jp/dl/api/book/search),鰐木乃伊; 鰐のミイラ; ワニのミイラ; 鰐の木乃伊; わにのミイラ; 鰐ミイラ,UNKNOWN,"5 hits, all general mentions (British Museum display 1911; 1943 生物紀行 mentions c. 5 m crocodile mummy seen in a museum — likely Cairo; Edo text 度日閑言); no Japanese holding",UNKNOWN,east_asia
2026-09-24,KR,ko,"e-museum (emuseum.go.kr headerSearch, national portal of Korean museum collections)",악어 미라; 미라; 악어; 이집트,UNKNOWN,"악어 미라 0; 미라 66 (Korean human mummy textiles, unrelated); 악어 55 (handbags, masks, modern specimens; Seoul National University Museum '악어' 1 record not opened; SNU Dental Museum Siamese crocodile bone); 이집트 58 (National Museum of World Writing Systems: canopic jar, shabti, talatat; Daegu Univ. Museum) — no crocodile mummy",UNKNOWN,east_asia
2026-09-24,EG,fr,archive.org advancedsearch API,title:(faune momifiée),"Egyptian Museum, Cairo","2 hits: lafaunemomifie00gail (Gaillard & Daressy 1905, CG 29501-) full scan + OCR; la-faune-momifiee-de-lantique-egypte-25 (same work)",UNKNOWN,egypt
2026-09-24,EG,fr,"archive.org full text (djvu.txt) of lafaunemomifie00gail, grep",crocodil|rocod|codil|Ombo|Maabd|saurien|Sobk,"Egyptian Museum, Cairo","Crocodile entries: CG 29578 (head), 29579-29585 (eggs), 29628-29630 (large mummies), 29710-29720 (young crocodiles), 29813-29816bis (coffins/sheath); index p. confirms 'Crocodiles 29578 à 29585, 29628 à 29630, 29710 à 29720; (Cercueils des) 29813 à 29816'. Garbled OCR values checked against page images n94, n127-n129, n162",UNKNOWN,egypt
2026-09-24,EG,en,WebSearch,"Ikram Iskander 2002 ""Non-Human Mummies"" Catalogue général crocodile CG","Egyptian Museum, Cairo","Citation data only; egyptologyforum CG list says Ikram & Iskander 2002 (CG 24048-24056, 29504-29903 selected, 51084-51101, 61089) not online; Richardin et al. 2017 Radiocarbon 59(2) concerns Musée des Confluences Lyon (lead)",UNKNOWN,egypt
2026-09-24,EG,en,egyptologyforum.org CG volumes online list,https://www.egyptologyforum.org/EEFCG.html (Gaillard/Ikram),"Egyptian Museum, Cairo","Gaillard & Daressy 1905 = CG 29501-29733, 29751-29834 online at archive.org; Ikram & Iskander 2002 not online (in copyright)",UNKNOWN,egypt
2026-09-24,EG,en,WebSearch,Animal Mummy Project Egyptian Museum Cairo crocodile mummies Salima Ikram gallery,"Egyptian Museum, Cairo","Popular/personal pages only (salimaikram.com, archaeology.org, NatGeo); Qubbat al-Hawa PLOS ONE hit; pascal-francis citation 'The animal mummy project at the Egyptian Museum, Cairo'",UNKNOWN,egypt
2026-09-24,EG,en,curl salimaikram.com/animal-mummy-project,crocodile|Egyptian Museum|Kom Ombo,"Egyptian Museum, Cairo","0 hits: generic text only, no object list",UNKNOWN,egypt
2026-09-24,EG,en,WebSearch,egymonuments.gov.eg crocodile mummy,"Crocodile Museum, Kom Ombo; Egyptian Museum, Cairo",Hits: egymonuments Crocodile Museum page + PDF brochure crocodile-en-web.pdf; egyptianmuseumcairo.eg artefact page 'Mummies of the big Nile crocodile'; Mummification Museum page,UNKNOWN,egypt
2026-09-24,EG,en,curl egyptianmuseumcairo.eg artefact page,https://egyptianmuseumcairo.eg/artefacts/mummies-of-the-big-nile-crocodile/,"Egyptian Museum, Cairo","Official page: 'Mummies of the big Nile crocodile (Crocodilus niloticus)', Gallery 53 Upper Floor; photo shows 2 large bitumen-coated largely unwrapped crocodile mummies; no inventory numbers",UNKNOWN,egypt
2026-09-24,EG,en,egyptianmuseumcairo.eg WordPress REST search API,crocodile; Sobek; Kom Ombo; animal mummies; mummy; تمساح,"Egyptian Museum, Cairo",crocodile -> 'The Basement of the Egyptian Museum' page (states boxes of 'Mummies of crocodiles' from Japanese expedition at Tehna el-Gabal in basement); artefact post type not indexed; Sobek/تمساح 0 hits,UNKNOWN,egypt
2026-09-24,EG,en,curl egymonuments.gov.eg,https://egymonuments.gov.eg/en/museums/crocodile-museum + media/8055/crocodile-en-web.pdf,"Crocodile Museum, Kom Ombo","Official: main hall displays mummified Nile crocodiles, longest 4.30 m, smallest 2 m; crocodile fetuses; Shutb cemetery 'Nearly 80 crocodiles were found'; no count of displayed mummies, no inventory numbers",UNKNOWN,egypt
2026-09-24,EG,ar,curl egymonuments.gov.eg (Arabic),https://egymonuments.gov.eg/ar/museums/crocodile-museum,"Crocodile Museum, Kom Ombo",Arabic text same as English: مومياوات محنطة لتماسيح النيل، أكبرها 4.30م وأصغرها 2م، أجنة التماسيح؛ جبانة الشطب,UNKNOWN,egypt
2026-09-24,EG,ar,WebSearch,متحف التمساح كوم أمبو مومياء تمساح عدد المومياوات الشطب,"Crocodile Museum, Kom Ombo","News only (youm7 2022, masrawy 2017, elbalad, coptstoday, elwatannews, akhbarelyom): '22 تمساحا من أصل 50' and 'خمس مومياوات'; candidate-only",UNKNOWN,egypt
2026-09-24,EG,en,WebSearch,Kom Ombo Crocodile Museum mummies el-Shatb cemetery crocodile burials excavation publication,"Crocodile Museum, Kom Ombo","Travel/blog pages; claim el-Shatb excavated by EAO 1965-68, 1971-83 (secondary); no scholarly publication found",UNKNOWN,egypt
2026-09-24,EG,en,WebSearch,"""Crocodile Museum"" ""Kom Ombo"" crocodile mummies CT OR radiographic OR study journal article","Crocodile Museum, Kom Ombo","No study of Kom Ombo museum specimens; hits on Lyon (Porcier 2019, Berruyer 2020), BM EA 38562, Qubbat al-Hawa PLOS ONE",UNKNOWN,egypt
2026-09-24,EG,en,PLOS ONE full-text XML,"journal.pone.0279137 grep: stored, museum, Kom Ombo, linen, isolated skull",Qubbat al-Hawa (Aswan) excavation store,"10 crocodiles (#1,#3-#11); 'studied on site and are also currently stored there'; refs to Cairo (Ikram 2005), Lyon, BM, Manchester, Yale Peabody",UNKNOWN,egypt
2026-09-24,EG,en,WebSearch,Akoris Tehna el-Gebel crocodile mummies Japanese mission Paleological Association of Japan,Akoris (Tehna el-Gebel) finds / Egyptian Museum Cairo basement,Fandom/wiki/travel hits only (not opened); no scholarly source on storage,UNKNOWN,egypt
2026-09-24,EG,ja,WebSearch,アコリス ワニ ミイラ 古代学協会,Akoris (Tehna el-Gebel),"isan-no-sekai.jp reports 8208 (crocodile worship & Akoris) and 8422 (Akoris mummies); aom-tokyo.com exhibition 'エジプト・アコリス出土のミイラ' (Ancient Orient Museum Tokyo, lead)",UNKNOWN,egypt
2026-09-24,EG,ja,curl isan-no-sekai.jp/report/8208 and /8422,ワニ|セベク|保管|収蔵|カイロ,Akoris (Tehna el-Gebel),8208: several crocodiles >3.5 m found in temple at Akoris; photo 'crocodile mummy placed in the rock-cut temple' (still on site); crocodile-shaped niches in West Temple (Nero). No storage institution named. 8422: human mummies only,UNKNOWN,egypt
2026-09-24,EG,en,curl egymonuments.gov.eg,https://egymonuments.gov.eg/museums/mummification-museum/ (EN+AR),"Mummification Museum, Luxor","Generic statement only: embalming applied to animals '(Cats, dogs, crocodiles…. etc.)'; no holding statement",UNKNOWN,egypt
2026-09-24,EG,en,WebSearch,"""Mummification Museum"" Luxor crocodile mummy display","Mummification Museum, Luxor","sis.gov.eg official portal + travel sites; SIS: 'animal mummies, such as: crocodiles; cats; and fish'",UNKNOWN,egypt
2026-09-24,EG,en,curl sis.gov.eg (with added intermediate cert),https://sis.gov.eg/en/egypt/tourism/cultural-tourism/museums/the-mummification-museum/,"Mummification Museum, Luxor","2 crocodile mentions (displays animal mummies incl. crocodiles; hall with mummified ram, cat, ibis, crocodile, monkey)",UNKNOWN,egypt
2026-09-24,EG,ar,WebSearch,متحف التحنيط بالأقصر مومياء تمساح,"Mummification Museum, Luxor",News: 'مومياء تمساح حديث الولادة'; beta.sis.gov.eg Arabic page blocked by WAF,UNKNOWN,egypt
2026-09-24,EG,en,egymonuments.gov.eg site-search API (Umbraco/Api/SearchResultWebAPI/GetSearchResult); script scripts/mota_search.py; raw JSON in raw/,crocodile; crocodiles; Sobek; animal mummies; mummified animals; mummified crocodile; Souchos,All MoTA museums/collections/news on egymonuments.gov.eg,"crocodile 12 hits, crocodiles 5, Sobek 3, animal mummies 18, mummified animals 23, mummified crocodile 15, Souchos 0. Only Crocodile Museum (Kom Ombo) page states crocodile mummies held; Mummification Museum generic; Sharm el-Sheikh Museum 'Grand Hall is where animal mummies are displayed' (species not stated); Saqqara 2018 news: wooden statues of small crocodiles (not mummies)",UNKNOWN,egypt
2026-09-24,EG,ar,egymonuments.gov.eg site-search API (culture ar); scripts/mota_search.py,تمساح؛ التمساح؛ تماسيح؛ التماسيح؛ سوبك؛ مومياء تمساح؛ مومياوات حيوانية؛ حيوانات محنطة؛ تمساح محنط,All MoTA museums/collections/news on egymonuments.gov.eg (Arabic),"~55 unique hits (fuzzy matching); only متحف التمساح page (and its anniversary event) mentions crocodile mummies; checked Agha Khan West Aswan tomb news, Imhotep Museum, Sharm el-Sheikh Museum, NMEC, New Valley Museum, Tuna el-Gebel news, Assiut news, Abydos news: 0 crocodile mentions",UNKNOWN,egypt
2026-09-24,EG,en,curl egymonuments.gov.eg pages,"crocodile|animal mumm in: Crocodile Museum anniversary, Kom Ombo Temple, Zoological Museum Giza Zoo news, Wadi Abu Subeira, Tell el-Faraoun, New Discoveries at Saqqara, Gebel al-Silsila, The Netherworld, Sharm al-Sheikh Museum, NMEC, Speos of Horemheb, Saqqara online discovery",various,No crocodile mummy holding statements except Sharm el-Sheikh Museum animal mummies (unspecified); Kom Ombo/Silsila pages mention Sobek only,UNKNOWN,egypt
2026-09-24,EG,en,WebSearch,Graeco-Roman Museum Alexandria crocodile mummy Theadelphia Pnepheros temple bier,"Graeco-Roman Museum, Alexandria",Travel/blog/wiki hits; alexandria.gov.eg page (503 Service Unavailable),UNKNOWN,egypt
2026-09-24,EG,en,archive.org advancedsearch + full text,creator:Breccia; grep crocodil|Pnepher|Theadelph in Breccia 1922 guide,"Graeco-Roman Museum, Alexandria",Breccia 1922 guide Room 9: 'On the litter is the mummy of a crocodile' (Theadelphia litter); Teadelfia/Pneferos report not on archive.org,UNKNOWN,egypt
2026-09-24,EG,ar,WebSearch,المتحف اليوناني الروماني بالإسكندرية مومياء تمساح محفة معبد بنفروس,"Graeco-Roman Museum, Alexandria","youm7 2025 snippet: 'مومياء لتمساح يتوسط المدخل' in reconstructed Crocodile Temple (news, candidate-only); maspero.eg 2023: temple model moved inside (no mummy mention)",UNKNOWN,egypt
2026-09-24,EG,en,curl egymonuments.gov.eg + MoTA search API,Graeco-Roman Museum; Theadelphia; Pnepheros,"Graeco-Roman Museum, Alexandria","Museum page EN/AR: history only, 0 crocodile mentions; Theadelphia/Pnepheros 0 relevant hits",UNKNOWN,egypt
2026-09-24,EG,en,WebSearch,Sharm El Sheikh Museum animal mummies crocodile mummy hall,Sharm El-Sheikh Museum,"Search summary claims mummified 'cats, hawks, eagles, rams, crocodiles' (source not identified; likely wiki/travel); official pages checked separately",UNKNOWN,egypt
2026-09-24,EG,en,curl egymonuments.gov.eg (EN/AR) + sis.gov.eg,Sharm al-Sheikh Museum pages: crocodile|تمساح|animal mummies,Sharm El-Sheikh Museum,MoTA: 'the Grand Hall is where animal mummies are displayed' / 'يعرض بعض الحيوانات المحنطة' (species not stated); SIS: cats and scarabs from Saqqara 2019; 0 crocodile mentions,UNKNOWN,egypt
2026-09-24,EG,ar,WebSearch,متحف شرم الشيخ مومياء تمساح القاعة الكبرى حيوانات محنطة,Sharm El-Sheikh Museum,"NOT PERFORMED: session WebSearch budget exhausted (200/200); subsequent searching done via official sites, archive.org, OpenAlex/Crossref APIs only",UNKNOWN,egypt
2026-09-24,EG,en,OpenAlex API,crocodile mummy,literature,Rate limit exceeded (shared IP daily budget used up) – not usable,UNKNOWN,egypt
2026-09-24,EG,en,Crossref API query.bibliographic (scripts/crossref_search.py),crocodile mummies Egypt; mummified crocodile,literature,"Relevant: Shimizu 2026 Orient 61 (Akoris niches); Chudzik & Iwaszczuk 2022 JAA (North Asasif crocodile remains); Berruyer thesis; Yanish et al. 2025 (Kyiv-Pechersk Lavra crocodile, UA lead); Atherton-Woolham 2015 (Hawara, Manchester)",UNKNOWN,egypt
